DATE	A00	B00	C00	D00	E00	F00
220204	0/15	0/15	0/15	N/A	N/A	N/A
220212	0/15	0/15	0/15	0/10	0/1	N/A
220213	0/15	1/15	0/15	0/10	0/1	N/A
220214	0/15	2/15	0/15	0/10	0/1	N/A
220215	1/15	2/15	0/15	0/10	0/1	N/A
220223	1/15	2/15	0/15	1/10	1/1	4/5
220224	1/15	2/15	0/15	1/10	1/1	5/5
220225	1/15	2/15	0/15	2/10	1/1	5/5
220301	1/15	2/15	0/15	2/10	1/1	5/5 WL1
220302	1/15	2/15	0/15	2/10	1/3	5/8
220308	1/15	2/15	10/15	2/10	1/3	6/8
220309	1/15	3/15	10/15	2/10	1/3	6/8
220311	1/15	3/15	11/15	2/10	1/3	6/8
220314	1/15	3/15	11/15	2/10	1/3	7/8
220316	1/15	3/15	12/15	2/10	1/3	7/8
220321	2/15	4/15	8/15	2/10	1/3	7/8
220323	2/15	4/15	7/15	2/10	1/3	7/8
220328	4/15	3/15	8/15	2/10	1/3	7/8
220328	4/15	3/15	8/15	2/10	1/3	8/8
220330	4/15	5/15	14/15	2/10	1/3	8/8
220404	5/15	5/15	13/15	2/10	1/3	8/8
