DATE	A01	A02	A03	A04	A05	A06	B01	B02	B03	B04	B05	B06	B07	B08	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10
220204	0/33	0/33	0/33	0/33	0/33	0/35	0/35	0/35	0/35	0/35	0/35	0/35	N/A	N/A	0/33	0/33	0/33	0/33	0/32	0/32	N/A	N/A	N/A	N/A
220212	0/33	0/33	0/33	0/33	0/33	0/35	0/35	0/35	0/35	0/35	0/35	0/35	N/A	N/A	1/33	0/33	1/33	0/33	1/32	1/32	N/A	N/A	N/A	N/A
220213	0/33	1/33	0/33	0/33	1/33	0/35	1/35	1/35	4/35	2/35	0/35	1/35	N/A	N/A	15/33	5/33	10/33	10/33	6/32	4/32	N/A	N/A	N/A	N/A
220214	0/33	1/33	0/33	0/33	2/33	0/35	1/35	1/35	4/35	2/35	0/35	2/35	N/A	N/A	19/33	5/33	10/33	10/33	6/32	4/32	N/A	N/A	N/A	N/A
220215	1/33	2/33	0/33	0/33	3/33	1/35	1/35	5/35	4/35	2/35	0/35	3/35	N/A	N/A	31/33	5/33	13/33	12/33	9/32	4/32	N/A	N/A	N/A	N/A
220216	0/33	2/33	0/33	0/33	3/33	0/35	3/35	6/35	4/35	2/35	0/35	5/35	N/A	N/A	32/33	8/33	18/33	17/33	13/32	8/32	N/A	N/A	N/A	N/A
220216	1/33	2/33	0/33	0/33	3/33	2/35	4/35	7/35	4/35	3/35	0/35	6/35	N/A	N/A	33/33	19/33	27/33	24/33	20/32	8/32	N/A	N/A	N/A	N/A
220217	1/33	3/33	0/33	0/33	5/33	2/35	6/35	8/35	6/35	6/35	1/35	6/35	N/A	N/A	33/33	22/33	33/33	29/33	23/32	8/32	N/A	N/A	N/A	N/A
220218	9/33	14/33	2/33	7/33	33/33	35/35	35/35	35/35	35/35	35/35	35/35	35/35	N/A	N/A	33/33	33/33	33/33	33/33	32/32	32/32	N/A	N/A	N/A	N/A
220219	9/33	16/33	3/33	9/33	33/33	34/35	35/35	35/35	35/35	35/35	35/35	35/35	N/A	N/A	33/33	33/33	33/33	33/33	32/32	32/32	N/A	N/A	N/A	N/A
220221	12/33	17/33	3/33	10/33	33/33	35/35	35/35 WL1	35/35 WL1	35/35 WL1	35/35	35/35	35/35	N/A	N/A	33/33	33/33 WL1	33/33	33/33 WL1	32/32 WL3	32/32 WL1	N/A	N/A	N/A	N/A
220222	12/33	17/33	3/33	10/33	33/33	35/35	35/35 WL1	35/35 WL1	35/35 WL1	35/35	35/35	35/35	N/A	N/A	33/33	33/33 WL1	33/33	33/33 WL2	32/32 WL3	32/32 WL2	N/A	N/A	N/A	N/A
220223	13/33	18/33	4/33	12/33	33/33	35/35 WL1	35/35 WL1	35/35 WL2	35/35 WL2	35/35 WL1	35/35	35/35	N/A	N/A	32/33 WL3	33/33 WL2	33/33 WL4	33/33 WL2	32/32 WL3	32/32 WL3	N/A	N/A	N/A	N/A
220224	15/33	18/33	4/33	12/33	33/33 WL1	35/35 WL1	35/35 WL1	35/35 WL2	35/35 WL2	35/35 WL1	35/35 WL1	35/35 WL4	N/A	N/A	33/33 WL2	33/33 WL3	33/33 WL3	33/33 WL3	32/32 WL3	32/32 WL3	N/A	N/A	N/A	N/A
220225	19/33	21/33	7/33	16/33	32/33	35/35 WL1	35/35 WL2	35/35 WL4	35/35 WL3	35/35 WL3	35/35 WL4	35/35 WL4	N/A	N/A	33/33 WL5	33/33 WL5	33/33 WL5	33/33 WL5	32/32 WL6	32/32 WL4	N/A	N/A	N/A	N/A
220226	32/33 WL1	33/33	32/33	33/33	33/33 WL6	35/35 WL3	35/35 WL6	35/35 WL8	35/35 WL6	35/35 WL8	35/35 WL7	35/35 WL5	N/A	N/A	33/33 WL19	33/33 WL18	33/33 WL19	33/33 WL19	32/32 WL18	32/32 WL18	N/A	N/A	N/A	N/A
220227	33/33	33/33	33/33	33/33 WL1	33/33 WL6	35/35 WL3	35/35 WL5	35/35 WL8	35/35 WL5	35/35 WL9	35/35 WL7	35/35 WL7	N/A	N/A	33/33 WL19	33/33 WL19	33/33 WL19	33/33 WL20	32/32 WL18	32/32 WL18	N/A	N/A	N/A	N/A
