DATE	A00	B00
220204	0/70	0/35
220212	4/70	1/35
220213	6/70	3/35
220214	9/70	4/35
220215	18/70	9/35
220216	22/70	12/35
220216	26/70	15/35
220217	27/70	18/35
220218	32/70	20/35
220219	33/70	22/35
220220	33/70	23/35
220221	33/70	25/35
220221	34/70	26/35
220222	36/70	27/35
220223	39/70	27/35
220225	40/70	27/35
220227	41/70	27/35
220228	42/70	27/35
220301	42/70	30/35
220302	42/70	31/35
220303	43/70	31/35
220304	46/70	31/35
220308	46/70	32/35
220309	47/70	32/35
220310	49/70	32/35
220311	50/70	33/35
220314	50/70	34/35
220316	51/70	34/35
220321	54/70	34/35
220323	57/70	35/35
