DATE	A01	B01	C01
220204	0/106	0/106	N/A
220212	1/106	4/106	N/A
220213	14/106	14/106	N/A
220214	15/106	15/106	N/A
220215	30/106	22/106	N/A
220216	45/106	39/106	N/A
220216	79/106	75/106	N/A
220217	86/106	85/106	N/A
220218	106/106	106/106	N/A
220221	106/106 WL1	105/106 WL2	N/A
220222	106/106 WL1	106/106 WL2	N/A
220223	106/106 WL11	105/106 WL10	N/A
220224	106/106 WL16	106/106 WL13	N/A
220225	106/106 WL28	106/106 WL28	N/A
220226	106/106 WL66	106/106 WL69	N/A
220227	106/106 WL69	106/106 WL69	N/A
220228	105/106 WL68	106/106 WL69	N/A
220301	106/106 WL64	110/106 WL66	N/A
220302	107/106 WL62	111/106 WL64	N/A
220303	108/106 WL60	111/106 WL63	N/A
220304	107/106 WL59	112/106 WL62	N/A
220306	106/106 WL59	112/106 WL61	N/A
220307	106/106 WL60	112/106 WL61	N/A
220308	173/196	178/196	N/A
220309	179/196	185/196	N/A
220310	179/196	192/196	N/A
220311	179/146	192/146	N/A
220312	179/146 WL1	192/146 WL2	N/A
220314	178/146 WL2	191/146 WL2	N/A
220316	178/146 WL4	187/146 WL6	N/A
220317	178/146 WL3	187/146 WL7	N/A
220321	178/146 WL5	184/146 WL7	N/A
220323	177/146 WL10	183/146 WL12	N/A
220324	176/146 WL12	182/146 WL14	N/A
220328	173/146 WL16	180/146 WL19	N/A
220328	172/146 WL19	180/146 WL21	N/A
220330	171/146 WL22	180/146 WL23	N/A
220331	171/146 WL22	180/146 WL22	N/A
220404	170/146 WL19	176/146 WL20	N/A
220405	170/146 WL19	176/146 WL19	N/A
220406	170/146 WL17	176/146 WL19	N/A
220407	170/146 WL17	176/146 WL18	N/A
220408	170/146 WL12	176/146 WL13	N/A
220410	169/146 WL11	175/146 WL13	N/A
220412	169/146 WL11	174/146 WL13	N/A
220417	166/146 WL11	171/146 WL13	N/A
220417	40/40 WL68	N/A	N/A
220417	55/55 WL27	N/A	N/A
220823	49/49 WL44	49/49 WL52	49/49 WL69
