DATE	A01	A02	A03	A04	A05	A06	A07
220204	0/37	0/36	0/36	0/37	N/A	N/A	N/A
220213	0/37	2/36	0/36	0/37	N/A	N/A	N/A
220216	1/37	3/36	1/36	0/37	N/A	N/A	N/A
220216	1/37	3/36	2/36	0/37	N/A	N/A	N/A
220218	3/37	5/36	3/36	2/37	N/A	N/A	N/A
220221	4/37	7/36	3/36	2/37	N/A	N/A	N/A
220223	6/37	8/36	4/36	3/37	N/A	N/A	N/A
220224	8/37	9/36	5/36	4/37	N/A	N/A	N/A
220225	10/37	15/36	8/36	9/37	N/A	N/A	N/A
220226	31/37	23/36	17/36	24/37	N/A	N/A	N/A
220227	33/37	24/36	18/36	24/37	N/A	N/A	N/A
220228	33/37	25/36	18/36	25/37	N/A	N/A	N/A
220301	37/37	27/36	18/36	26/37	N/A	N/A	N/A
220302	37/37	28/36	18/36	26/37	N/A	N/A	N/A
220304	37/37	28/36	17/36	26/37	N/A	N/A	N/A
220305	37/37	29/36	17/36	26/37	N/A	N/A	N/A
220307	37/37	29/36	18/36	26/37	N/A	N/A	N/A
220308	37/37	29/36	19/36	27/37	N/A	N/A	N/A
220309	37/37	28/36	18/36	28/37	N/A	N/A	N/A
220310	37/37	27/36	19/36	28/37	N/A	N/A	N/A
220311	37/37	27/36	20/36	31/37	N/A	N/A	N/A
220312	37/37	29/36	22/36	31/37	N/A	N/A	N/A
220314	37/37	30/36	25/36	31/37	N/A	N/A	N/A
220316	36/37	32/36	25/36	32/37	N/A	N/A	N/A
220317	36/37	32/36	26/36	33/37	N/A	N/A	N/A
220321	37/37	32/36	27/36	33/37	N/A	N/A	N/A
220323	37/37 WL2	35/36	29/36	36/37	N/A	N/A	N/A
220324	37/37 WL2	36/36 WL1	29/36	35/37	N/A	N/A	N/A
220328	37/37	36/36 WL2	36/36 WL1	37/37	N/A	N/A	N/A
220328	37/37	36/36 WL2	36/36 WL1	37/37 WL1	N/A	N/A	N/A
220330	37/37 WL3	35/36 WL2	33/36 WL3	36/37 WL2	N/A	N/A	N/A
220331	37/37 WL2	36/36	36/36	37/37 WL1	N/A	N/A	N/A
220404	37/37 WL1	36/36 WL1	35/36	37/37	N/A	N/A	N/A
220405	36/37 WL1	36/36 WL1	36/36 WL1	37/37	N/A	N/A	N/A
220406	37/37	36/36 WL1	36/36	36/37	N/A	N/A	N/A
220407	37/37	36/36 WL1	36/36	37/37 WL1	N/A	N/A	N/A
220408	37/37	34/36 WL1	35/36 WL1	37/37	N/A	N/A	N/A
220410	37/37	34/36 WL1	35/36	37/37	N/A	N/A	N/A
220412	37/37	34/36 WL1	34/36	37/37	N/A	N/A	N/A
220417	37/37	32/36 WL1	35/36	36/37	N/A	N/A	N/A
220417	17/40	N/A	N/A	N/A	N/A	N/A	N/A
220417	27/40	N/A	N/A	N/A	N/A	N/A	N/A
220823	20/31	15/31	7/31	31/31 WL2	31/31 WL1	0/0	0/0
