DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220212	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
220213	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
220214	0	2	0	0	2	0	2	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
220215	0	3	1	0	2	0	2	1	0	0	0	2	2	0	1	2	0	1	0	2	0	1	0	0	0	0
220216	0	3	1	0	2	1	3	1	0	0	0	2	2	0	1	2	0	2	0	2	0	2	0	0	0	0
220216	0	3	1	0	2	1	4	1	0	0	0	2	2	1	1	2	0	2	0	3	1	2	0	0	0	0
220218	0	3	1	0	2	1	5	1	0	0	0	2	2	1	1	2	0	2	0	3	1	2	0	0	0	0
220219	0	3	1	0	2	1	5	1	0	0	0	2	2	2	2	2	0	2	0	3	1	2	0	0	0	0
220221	0	3	1	0	2	1	5	2	0	0	0	2	2	2	2	2	0	2	0	3	2	2	0	0	0	0
220223	0	3	1	0	2	1	5	2	0	0	0	2	2	3	2	2	0	2	0	3	2	2	0	0	0	0
220226	0	3	1	0	2	1	6	2	0	0	0	2	2	3	2	2	0	2	0	3	2	2	0	0	0	0
220301	0	3	1	0	3	1	6	2	0	0	0	3	2	3	2	2	0	3	0	3	2	2	0	0	0	0
220302	0	3	1	0	3	1	6	2	0	0	0	3	3	3	2	2	0	3	0	3	2	2	0	0	0	0
220303	0	4	1	0	3	1	6	2	0	0	0	4	3	3	2	2	0	3	0	3	2	2	0	0	0	0
220308	0	5	1	0	3	1	7	2	0	0	0	4	3	3	2	2	0	4	0	3	2	2	0	0	0	0
220309	0	5	2	0	3	1	7	2	0	0	0	4	4	3	2	2	0	4	0	3	2	2	0	0	0	0
220310	0	5	3	0	3	1	7	2	0	0	0	4	3	3	2	2	0	4	0	3	2	2	0	0	0	0
220314	0	5	3	0	3	1	7	2	0	0	1	4	3	3	2	2	0	4	0	3	2	2	0	0	0	0
220316	0	5	3	0	3	1	7	3	0	0	1	4	4	3	2	2	0	4	0	3	2	3	1	0	0	0
220317	0	5	3	0	3	1	7	3	0	0	1	4	4	3	2	2	0	4	0	4	2	3	1	0	0	0
220321	0	5	3	0	3	1	7	4	0	0	1	4	4	3	2	2	0	4	0	4	2	3	1	0	0	0
220323	0	5	3	0	4	1	8	4	0	0	1	4	5	3	2	2	0	4	0	4	2	3	1	0	0	0
220324	0	5	3	0	4	1	8	4	0	0	1	4	5	3	2	3	0	4	0	4	2	3	1	0	0	0
