DATE	A01	A02	A03
220204	0/40	0/40	0/40
220212	1/40	0/40	0/40
220213	6/40	1/40	2/40
220214	7/40	3/40	3/40
220215	14/40	20/40	12/40
220216	29/40	35/40	19/40
220216	32/40	39/40	20/40
220217	32/40	37/40	20/40
220221	33/40	40/40	20/40
220222	34/40	40/40	20/40
220223	39/40	39/40 WL2	33/40
220224	40/40	40/40 WL1	36/40
220225	40/40 WL2	40/40 WL2	40/40 WL2
220226	40/40 WL3	40/40 WL2	40/40 WL2
220302	40/44 WL3	40/43 WL2	40/40 WL2
220303	43/44	42/43 WL1	40/40 WL2
220304	44/44	42/43 WL1	40/40 WL2
220305	44/44 WL1	42/43 WL1	40/40 WL2
220307	44/44 WL1	41/43 WL1	40/40 WL2
220316	44/44 WL2	41/43 WL1	40/40 WL2
220321	46/48	41/48 WL1	40/40 WL2
220324	46/48	42/48	40/40 WL2
220328	45/48	45/48	40/40 WL1
220328	47/48	47/48	39/40 WL1
220330	46/48	47/48	39/40
220331	45/48	47/48	39/40
220404	44/48	46/48	38/40
220405	44/48	46/48	39/40
220406	46/48	46/48	39/40
220407	46/48	45/48	39/40
220412	46/48	44/48	39/40
