DATE	A00	B00	C00	D00
220204	0/30	0/50	0/0	0/30
220212	9/30	4/50	0/0	1/30
220213	8/30	8/50	0/0	1/30
220214	9/30	12/50	0/0	1/30
220215	9/30	15/50	0/0	1/30
220216	9/30	16/50	0/0	1/30
220217	9/30	17/50	0/0	1/30
220218	10/30	16/50	0/0	1/30
220219	11/30	16/50	0/0	2/30
220221	11/30	18/50	0/0 WL1	2/30
220222	11/30	20/50	0/0 WL1	2/30
220223	13/30	23/50	0/0 WL1	5/30
220226	13/30	24/50	0/0 WL1	5/30
220301	13/30	23/50	0/0 WL1	6/30
220302	14/30	23/50	0/0 WL1	7/30
220303	14/30	24/50	0/0 WL1	7/30
220306	14/30	25/50	0/0 WL1	7/30
220307	15/30	27/50	0/0 WL1	7/30
220308	16/30	28/50	0/0 WL1	8/30
220309	16/30	30/50	0/0 WL1	8/30
220310	16/30	29/50	0/0 WL1	8/30
220311	17/30	30/50	0/0 WL1	8/30
220314	17/30	30/50	0/0 WL1	9/30
220316	19/30	30/50	0/0 WL1	10/30
220317	20/30	31/50	N/A	10/30
220321	20/30	29/50	N/A	12/30
220323	21/30	30/50	N/A	13/30
220324	21/30	31/50	N/A	13/30
220328	23/30	34/50	N/A	13/30
220330	23/30	30/50	N/A	13/30
220331	24/30	31/50	N/A	14/30
220404	24/30	30/50	N/A	11/30
220405	24/30	29/50	N/A	11/30
220417	14/50	N/A	N/A	N/A
