DATE	A01	A02	B01	B02
220204	0/50	0/50	0/50	0/50
220213	3/50	1/50	11/50	0/50
220215	6/50	3/50	22/50	5/50
220216	7/50	3/50	26/50	13/50
220216	10/50	4/50	35/50	19/50
220217	13/50	4/50	37/50	19/50
220218	15/50	5/50	41/50	20/50
220219	15/50	5/50	41/50	19/50
220221	17/50	7/50	49/50	22/50
220222	17/50	8/50	49/50	23/50
220223	23/50	9/50	50/50 WL1	47/50
220224	40/50	17/50	50/50 WL4	50/50 WL4
220225	50/50 WL3	46/50	50/50 WL9	50/50 WL9
220226	50/50 WL4	50/50 WL2	50/50 WL9	50/50 WL10
220227	50/50 WL4	50/50 WL3	50/50 WL9	50/50 WL10
220228	50/50 WL5	50/50 WL4	50/50 WL9	50/50 WL10
220301	49/50 WL7	49/50 WL7	50/50 WL10	50/50 WL10
220302	50/50 WL6	50/50 WL5	49/50 WL10	49/50 WL10
220303	50/50 WL6	50/50 WL5	50/50 WL9	50/50 WL10
220304	50/50 WL6	50/50 WL6	50/50 WL8	50/50 WL10
220307	50/50 WL7	50/50 WL6	50/50 WL8	50/50 WL10
220308	56/56 WL1	56/56	56/56 WL2	56/56 WL4
220309	56/56	56/56	56/56 WL2	56/56 WL4
220310	56/56 WL1	53/56	56/56 WL1	56/56 WL4
220311	56/56 WL1	53/56	56/56 WL3	56/56 WL4
220312	56/56 WL2	53/56	56/56 WL4	56/56 WL4
