DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220213	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220308	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220311	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220312	1	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220314	2	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220316	4	0	1	1	0	0	4	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	N/A	N/A
220317	4	0	2	1	0	1	4	1	1	1	2	0	1	0	0	0	1	1	0	1	0	1	0	2	N/A	N/A
220321	4	0	2	2	0	1	4	1	1	1	2	0	1	0	0	0	1	1	0	1	0	1	0	2	N/A	N/A
220323	4	1	2	2	0	1	4	1	1	1	2	0	1	0	0	0	1	1	0	1	0	1	0	2	N/A	N/A
220328	4	1	2	2	0	1	4	0	1	1	2	0	1	0	1	0	1	1	0	1	0	1	0	2	N/A	N/A
220328	4	1	2	2	0	2	4	0	1	1	2	0	1	0	1	0	1	1	0	1	0	1	0	2	N/A	N/A
220330	4	2	2	2	0	2	4	0	1	1	2	0	1	0	1	0	1	1	0	1	0	1	0	2	N/A	N/A
220404	4	2	2	3	1	2	4	0	1	2	2	0	1	0	1	0	1	1	0	1	0	1	0	2	N/A	N/A
220407	4	2	2	3	1	2	3	0	1	2	2	0	1	0	1	0	1	1	0	1	0	1	0	2	2	1
220408	4	2	2	3	1	2	2	0	1	2	2	0	1	1	1	0	1	1	0	1	0	1	0	2	2	3
220823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
