DATE	A01	B01
220204	0/116	0/116
220212	11/116	3/116
220213	37/116	11/116
220214	46/116	11/116
220215	116/116	45/116
220216	116/116	116/116
220221	116/116 WL1	116/116
220221	116/116 WL6	116/116 WL3
220222	115/116 WL8	116/116 WL7
220223	116/116 WL52	113/116 WL10
220224	116/116 WL109	116/116 WL30
220225	116/116 WL140	116/116 WL61
220226	116/116 WL143	116/116 WL64
220227	116/116 WL143	116/116 WL65
220228	116/116 WL144	116/116 WL66
220301	154/116 WL106	116/196 WL68
220302	183/116 WL77	186/196
220303	188/116 WL72	188/196
220304	187/116 WL73	187/196
220305	187/116 WL73	188/196
220306	187/116 WL72	189/196
220307	187/116 WL73	188/196
220308	196/196 WL55	191/196
220309	196/196 WL51	196/196 WL1
220310	196/196 WL50	196/196 WL2
220312	196/196 WL50	196/196 WL4
220314	196/196 WL49	195/196 WL4
220316	196/196 WL47	196/196 WL5
220321	196/196 WL42	196/196 WL8
220323	193/196 WL42	196/196 WL8
220324	196/196 WL45	196/196 WL11
220328	196/196 WL43	196/196 WL13
220328	194/196 WL44	196/196 WL15
220330	196/196 WL34	196/196 WL16
220331	196/196 WL30	195/196 WL17
220404	195/196 WL25	196/196 WL14
220405	196/196 WL22	195/196 WL15
220406	196/196 WL17	196/196 WL13
220407	197/196 WL16	196/196 WL13
220408	197/196 WL14	196/196 WL10
220410	197/196 WL12	196/196 WL9
220412	196/196 WL12	196/196 WL9
220417	195/196 WL12	195/196 WL9
220417	40/40 WL59	N/A
220625	70/70 WL18	N/A
