DATE	A01	A02	B01	B02
220204	0/24	0/24	0/24	0/24
220212	0/22	0/22	0/22	0/22
220213	5/22	0/22	7/22	0/22
220214	8/22	1/22	11/22	0/22
220215	17/22	4/22	22/22	5/22
220216	18/22	9/22	22/22	19/22
220216	19/22	10/22	22/22	22/22
220221	20/22	11/22	22/22	22/22
220222	20/22	11/22	22/22 WL1	22/22
220223	22/22	18/22	22/22 WL3	21/22 WL1
220224	21/22	21/22	22/22 WL3	22/22
220225	22/22 WL1	22/22	22/22 WL3	22/22 WL1
220304	22/22 WL1	20/22	22/22 WL3	22/22 WL2
220307	21/22 WL1	20/22	22/22 WL3	22/22 WL2
220308	22/22	20/22	22/22 WL3	22/22 WL2
220311	21/22	19/22	23/22 WL3	22/22 WL2
220312	20/22	19/22	23/22 WL3	22/22 WL2
220316	20/22	19/22	23/22 WL3	22/22
220321	20/22	18/22	22/22 WL3	21/22
220323	19/22	19/22	22/22 WL3	21/22
220324	19/24	19/24	22/24 WL3	22/24
220328	21/24	17/24	21/24 WL1	23/24
220328	22/24	16/24	21/24 WL1	24/24
220330	21/24	15/24	21/24 WL2	24/24
220331	21/0	15/0	24/24	24/24
220404	21/0	15/0	23/0	24/0
220406	21/0	15/0	22/0	24/0
220410	21/0	14/0	22/0	24/0
220412	21/0	14/0	21/0	24/0
220417	20/20 WL5	20/20 WL5	N/A	N/A
