DATE	A01	A02	A03	A04	A05
220204	0/60	0/60	0/60	0/60	0/60
220212	3/60	1/60	1/60	0/60	0/60
220213	9/60	2/60	2/60	1/60	0/60
220214	11/60	3/60	2/60	1/60	0/60
220215	27/60	9/60	4/60	1/60	0/60
220216	59/60	16/60	5/60	2/60	0/60
220216	60/60	42/60	6/60	6/60	0/60
220217	60/60	48/60	7/60	6/60	0/60
220218	60/60	60/60	7/60	9/60	1/60
220221	59/60 WL3	60/60 WL1	11/60	10/60	2/60
220222	60/60 WL2	60/60 WL1	14/60	10/60	2/60
220223	60/60 WL4	60/60 WL4	34/60	21/60	8/60
220224	60/60 WL5	60/60 WL4	55/60	26/60	8/60
220225	60/60 WL6	60/60 WL5	60/60 WL1	60/60 WL1	22/60
220226	60/60 WL6	60/60 WL6	60/60 WL2	59/60 WL1	29/60
220227	60/60 WL6	60/60 WL6	59/60 WL3	60/60	32/60
220228	60/60 WL7	60/60 WL6	60/60 WL2	59/60	32/60
220301	60/60 WL6	60/60 WL6	60/60 WL3	60/60	37/60
220302	60/60 WL6	60/60 WL6	60/60 WL3	60/60 WL1	39/60
220303	60/60 WL6	60/60 WL6	60/60 WL2	60/60	42/60
220304	60/60 WL5	60/60 WL6	60/60 WL2	60/60	43/60
220305	60/60 WL5	60/60 WL6	60/60 WL2	60/60	42/60
220306	60/60 WL5	60/60 WL6	60/60 WL1	60/60	42/60
220307	60/60 WL5	60/60 WL7	60/60 WL1	60/60	41/60
220308	60/60 WL4	60/60 WL6	60/60 WL1	58/60	40/60
