DATE	A01	A02	A03	A04	A05	A06	A07	A08
220204	0/20	0/20	0/20	0/20	0/20	0/20	0/20	0/20
220212	2/20	2/20	0/20	0/20	1/20	0/20	1/20	0/20
220213	5/20	3/20	2/20	1/20	2/20	0/20	5/20	1/20
220215	10/20	5/20	2/20	2/20	4/20	1/20	10/20	1/20
220216	20/20	8/20	5/20	8/20	13/20	3/20	18/20	3/20
220216	21/23	13/23	5/23	14/23	23/23	3/23	22/23	8/23
220217	22/23	16/23	5/23	14/23	23/23	3/23	23/23	11/23
220218	22/23	18/23	5/23	15/23	23/23	5/23	23/23	14/23
220219	22/23	19/23	5/23	15/23	23/23	6/23	23/23	14/23
220221	23/23	21/23	4/23	16/23	23/23	7/23	23/23	15/23
220222	23/23	21/23	4/23	16/23	23/23	8/23	23/23	15/23
220223	23/23	22/23	5/23	17/23	23/23	14/23	23/23	15/23
220224	23/23 WL1	22/23	8/23	23/23	23/23 WL1	18/23	23/23	20/23
220225	25/25	25/25	10/25	22/25	25/25	24/25	25/25 WL1	24/25
220226	25/25	25/25 WL1	13/25	22/25	25/25	23/25	25/25 WL1	25/25
220227	25/25	25/25 WL1	13/25	22/25	25/25	24/25	25/25 WL1	25/25
220228	24/25	25/25 WL1	13/25	22/25	25/25	25/25	25/25 WL1	25/25
220301	25/25	25/25	14/25	25/25	25/25	25/25	25/25 WL1	25/25
220302	25/25	24/25	15/25	25/25	25/25	25/25	25/25 WL1	25/25
220303	25/25	25/25	17/25	25/25	25/25	25/25	25/25 WL1	25/25
220309	25/25	25/25	20/25	25/25	25/25	25/25	25/25 WL1	25/25
220311	25/25	25/25	21/25	25/25	25/25	25/25	25/25 WL1	25/25
220314	25/25	25/25	22/25	25/25	25/25	25/25	25/25 WL2	25/25
220316	25/25	25/25	23/25	25/25	25/25	25/25	25/25 WL2	25/25
220321	25/25	25/25	24/25	25/25	25/25	25/25	25/25 WL2	25/25
220323	25/25	25/25	25/25	25/25	25/25 WL1	25/25	25/25 WL2	25/25
220324	25/25	25/25	25/25	25/25 WL1	25/25 WL1	25/25	25/25 WL2	25/25
220328	25/25	25/25	25/25	25/25	25/25 WL1	25/25 WL1	25/25 WL1	25/25 WL1
