DATE	001	002	003	004	005
220204	0/28	0/28	0/28	0/28	0/28
220212	0/28	0/28	1/28	0/28	1/28
220213	1/28	2/28	3/28	0/28	1/28
220214	1/28	4/28	4/28	0/28	2/28
220215	2/28	6/28	8/28	2/28	5/28
220216	4/28	8/28	11/28	5/28	7/28
220216	6/28	8/28	15/28	10/28	10/28
220217	8/28	9/28	14/28	11/28	10/28
220218	16/28	16/28	21/28	17/28	17/28
220219	15/28	16/28	23/28	17/28	16/28
220221	15/28	17/28	25/28	18/28	16/28
220223	17/28	24/28	28/28	23/28	17/28
220224	19/28	25/28	28/28 WL1	25/28	20/28
220225	28/28	28/28 WL2	28/28 WL2	28/28 WL2	24/28
220226	28/28 WL2	28/28 WL3	28/28 WL1	28/28 WL2	28/28
220301	28/28 WL3	28/28 WL2	28/28 WL2	28/28 WL2	28/28
220302	28/28 WL2	28/28 WL2	28/28 WL3	28/28 WL2	28/28
220303	28/28 WL2	28/28 WL2	28/28 WL3	28/28 WL2	28/28 WL1
220304	28/28 WL2	28/28 WL2	28/28 WL3	28/28 WL4	28/28 WL1
220305	28/28 WL2	28/28 WL2	28/28 WL3	28/28 WL4	28/28 WL2
220306	27/28 WL2	28/28 WL3	28/28 WL2	28/28 WL4	28/28 WL2
220307	28/28 WL1	28/28 WL3	28/28 WL2	28/28 WL4	28/28 WL2
220309	28/28 WL1	28/28 WL3	28/28 WL3	28/28 WL4	28/28 WL2
220310	28/28 WL2	28/28 WL3	28/28 WL3	28/28 WL4	28/28 WL2
220314	28/28 WL3	28/28 WL3	28/28 WL3	28/28 WL4	28/28 WL2
220316	28/28 WL2	28/28 WL3	28/28 WL3	28/28 WL4	28/28 WL2
220321	28/28 WL2	28/28 WL3	28/28 WL3	28/28 WL4	28/28 WL3
220323	28/28 WL3	28/28 WL3	28/28 WL3	28/28 WL4	28/28 WL2
220324	28/28 WL3	28/28 WL4	27/28 WL3	28/28 WL4	28/28 WL2
220328	28/28 WL1	28/28 WL3	28/28 WL1	28/28 WL3	28/28 WL1
220328	26/28 WL2	28/28 WL3	28/28 WL1	27/28 WL3	28/28 WL1
220330	28/28 WL1	28/28 WL2	28/28 WL4	28/28 WL3	28/28 WL1
220331	28/28 WL2	28/28 WL2	28/28 WL4	28/28 WL3	28/28 WL2
