DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	N/A	N/A	N/A
220304	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	N/A
220308	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	N/A
220321	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	N/A
220330	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	2	N/A
220331	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	1	2	N/A
220404	0	0	0	3	1	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	2	1	0	2	0	1	0	0	2	0	2	3	N/A
220406	0	0	0	3	1	0	0	0	0	0	0	0	2	3	1	0	1	0	0	0	2	1	0	2	0	1	0	0	2	0	2	3	N/A
220408	0	0	0	3	1	0	0	1	0	0	0	0	2	3	1	0	1	0	0	0	2	1	0	2	0	1	0	0	2	0	2	3	N/A
220417	0	0	0	4	1	0	0	1	0	0	0	0	2	3	2	0	1	0	0	0	3	1	0	2	0	2	0	0	3	0	2	3	0
220625	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
