DATE	A01	B01	C01	D01
220204	0/35	0/35	0/35	0/35
220212	0/35	0/35	3/35	2/35
220213	1/35	0/35	8/35	21/35
220214	2/35	0/35	8/35	21/35
220215	3/35	0/35	8/35	19/35
220221	7/35	4/35	11/35	21/35
220222	9/35	10/35	16/35	26/35
220223	13/35	13/35	23/35	29/35
220225	12/35	15/35	23/35	30/35
220228	12/35	16/35	23/35	31/35
220302	12/35	16/35	23/35	30/35
220304	12/35	18/35	22/35	30/35
220305	13/35	19/35	22/35	28/35
220314	13/35	20/35	22/35	27/35
220317	13/35	21/35	22/35	26/35
220321	14/35	21/35	22/35	25/35
220323	16/35	22/35	20/35	25/35
220324	17/35	22/35	19/35	26/35
220328	19/35	22/35	20/35	22/35
220328	20/35	22/35	20/35	21/35
