DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018
220204	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	N/A	N/A	N/A	N/A
220212	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	2/3	0/3	0/3	0/3	0/3	N/A	N/A	N/A	N/A
220217	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	2/3	0/3	1/3	0/3	0/3	N/A	N/A	N/A	N/A
220225	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	2/3	0/3	1/3	0/3	1/3	N/A	N/A	N/A	N/A
220226	0/3	0/3	0/3	0/3	1/3	0/3	0/3	0/3	0/3	2/3	0/3	1/3	0/3	1/3	N/A	N/A	N/A	N/A
220308	0/3	0/3	0/3	1/3	1/3	0/3	0/3	0/3	0/3	2/3	0/3	1/3	0/3	1/3	N/A	N/A	N/A	N/A
220314	0/3	0/3	0/3	1/3	1/3	0/3	0/3	0/3	0/3	2/3	1/3	1/3	0/3	1/3	N/A	N/A	N/A	N/A
220317	0/3	0/3	0/3	1/3	1/3	0/3	0/3	0/3	0/3	2/3	2/3	1/3	1/3	1/3	N/A	N/A	N/A	N/A
220324	0/3	0/3	0/3	1/3	1/3	0/3	0/3	1/3	0/3	2/3	2/3	1/3	1/3	1/3	N/A	N/A	N/A	N/A
220330	0/3	0/3	0/3	1/3	1/3	0/3	0/3	1/3	1/3	2/3	1/3	1/3	1/3	1/3	N/A	N/A	N/A	N/A
220404	0/3	0/3	0/3	1/3	1/3	0/3	0/3	1/3	1/3	2/3	2/3	1/3	1/3	1/3	N/A	N/A	N/A	N/A
220407	0/3	0/3	0/3	2/3	1/3	0/3	0/3	1/3	0/3	2/3	2/3	1/3	1/3	1/3	N/A	N/A	N/A	N/A
220410	0/3	0/3	0/3	2/3	1/3	0/3	1/3	1/3	0/3	2/3	2/3	1/3	1/3	1/3	N/A	N/A	N/A	N/A
220823	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	1/3	0/3	1/3	1/3	0/3	2/3	0/3	1/3
