DATE	A01	A02	B01	B02
220204	0/75	0/71	0/75	0/71
220212	2/75	1/71	2/75	0/71
220213	4/75	1/71	8/75	0/71
220214	4/75	1/71	10/75	0/71
220215	16/75	8/71	22/75	6/71
220216	26/75	13/71	56/75	10/71
220216	38/75	18/71	75/75	20/71
220217	38/75	18/71	75/75	23/71
220218	39/75	19/71	75/75	24/71
220219	40/75	19/71	74/75	24/71
220221	41/75	19/71	75/75	24/71
220222	41/75	19/71	75/75	25/71
220223	46/75	26/71	75/75 WL1	42/71
220224	53/75	27/71	75/75	50/71
220225	53/75	32/71	75/75	56/71
220226	53/75	32/71	75/75 WL1	58/71
