DATE	A01	B01
220204	0/150	0/50
220212	1/150	0/50
220213	3/150	2/50
220215	4/150	3/50
220216	18/150	6/50
220216	40/150	16/50
220217	48/150	22/50
220218	76/150	37/50
220219	77/150	37/50
220221	77/150	39/50
220222	78/150	39/50
220223	81/150	39/50
220224	82/150	40/50
220225	97/150	47/50
220226	108/150	49/50
220227	110/150	48/50
220228	115/150	48/50
220301	131/150	50/50
220302	147/150	50/50 WL2
220303	150/150 WL2	50/50 WL3
220304	150/150 WL6	50/50 WL2
220305	150/150 WL8	50/50 WL1
220309	149/150 WL8	50/50 WL1
220310	150/150 WL8	50/50 WL1
220311	149/150 WL8	50/50 WL1
220312	150/150 WL7	50/50 WL1
220321	150/150 WL8	50/50 WL1
220323	148/150 WL9	50/50
220324	148/150 WL7	50/50
220328	150/150 WL7	49/50
220328	150/150 WL9	50/50
