DATE	A00	B00	C00
220204	0/75	0/75	0/75
220212	0/75	3/75	3/75
220213	0/75	11/75	10/75
220215	1/75	17/75	18/75
220216	4/75	75/75	44/75
220216	19/75	75/75	75/75
220217	21/75	75/75	75/75
220218	25/75	75/75	75/75
220219	23/75	75/75	75/75
220221	26/75	75/75 WL6	75/75 WL2
220222	26/75	75/75 WL7	75/75 WL2
220223	34/75	75/75 WL10	75/75 WL5
220224	40/75	75/75 WL19	75/75 WL10
220225	55/75	75/75 WL28	75/75 WL22
220226	54/75	75/75 WL28	75/75 WL24
220227	53/75	75/75 WL28	75/75 WL25
220228	55/75	75/75 WL27	75/75 WL25
220301	54/75	75/75 WL27	75/75 WL27
220302	51/75	90/90 WL13	100/100 WL5
