DATE	A00	B00	C00
220204	0/20	0/20	0/20
220215	0/20	1/20	0/20
220218	6/20	5/20	4/20
220219	7/20	5/20	4/20
220221	7/20	6/20	4/20
220223	7/20	7/20	4/20
220225	7/20	12/20	4/20
220226	6/20	19/20	5/20
220227	7/20	19/20	5/20
220301	6/20	20/20	5/20
220302	6/20	21/20	5/20
220303	5/20	21/20 WL1	5/20
220305	5/20	21/20 WL1	6/20
220306	5/20	21/20 WL2	6/20
220308	6/20	21/20 WL3	7/20
220309	5/20	20/20 WL3	8/20
220317	7/20	20/20 WL3	7/20
220321	8/20	20/20 WL3	10/20
220323	8/20	20/20 WL4	10/20
220324	11/20	20/20 WL3	10/20
220328	8/20	20/20 WL2	10/20
220328	10/20	19/20 WL3	11/20
220330	16/20	20/20 WL1	12/20
220331	19/20	20/20 WL2	14/20
220404	16/20	20/20 WL2	8/20
220405	15/20	20/20 WL2	8/20
220406	14/20	20/20 WL2	8/20
