DATE	A01	A02	B01
220204	0/200	0/200	N/A
220212	3/200	3/200	N/A
220213	17/200	8/200	N/A
220214	20/200	8/200	N/A
220215	36/200	12/200	N/A
220216	82/200	32/200	N/A
220216	150/200	55/200	N/A
220217	170/200	61/200	N/A
220218	198/200	87/200	N/A
220219	199/200	89/200	N/A
220220	200/200	90/200	N/A
220221	199/200 WL4	102/200	N/A
220222	200/200 WL5	102/200	N/A
220223	200/200 WL10	113/200	N/A
220224	198/200 WL14	131/200	N/A
220225	200/200 WL45	192/200	N/A
220226	200/200 WL51	200/200 WL12	N/A
220227	200/200 WL52	200/200 WL13	N/A
220301	200/295 WL52	200/295 WL14	N/A
220302	251/295 WL2	215/295	N/A
220303	252/295 WL1	215/295	N/A
220304	253/295 WL1	214/295	N/A
220310	253/295 WL1	213/295	N/A
220311	252/295 WL1	214/295	N/A
220314	251/295	219/295	N/A
220316	252/295	218/295	N/A
220317	253/295	218/295	N/A
220321	255/295	218/295	N/A
220323	252/295	217/295	N/A
220324	250/295	219/295	N/A
220328	252/295	213/295	N/A
220328	262/295	212/295	N/A
220330	262/295	216/295	N/A
220331	263/295	220/295	N/A
220404	264/295	222/295	N/A
220405	262/295	217/295	N/A
220406	261/295	217/295	N/A
220407	262/295	216/295	N/A
220408	260/295	215/295	N/A
220410	254/295	213/295	N/A
220412	254/295	211/295	N/A
220417	253/295	209/295	N/A
220417	40/40 WL70	N/A	N/A
220625	78/80 WL8	N/A	49/50 WL2
