DATE	A01	A02	A03	A04	B01	B02	B03	B04
220204	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22
220212	2/22	3/22	3/22	3/22	1/22	2/22	0/22	1/22
220213	9/22	7/22	10/22	7/22	2/22	2/22	0/22	2/22
220214	11/22	10/22	13/22	7/22	2/22	2/22	0/22	3/22
220215	22/22	22/22	22/22	22/22	13/0	16/0	3/0	17/22
220216	22/22	22/22	22/22	22/22	22/22	22/22	22/22	22/22
220216	26/26	24/26	24/26	26/26	24/24	21/24	17/24	24/24
220217	26/26	26/26	25/26	26/26	24/24	23/24	16/24	24/24
220218	27/28	28/28	26/28	28/28	25/28	26/28	16/28	22/28
220219	27/28	28/28	26/28	28/28	25/28	26/28	16/28	21/28
220221	28/28	28/28	28/28	28/28	26/28	27/28	17/28	21/28
220222	28/28	28/28	28/28	28/28	26/28	28/28	18/28	22/28
220223	28/28 WL1	28/28 WL2	28/28 WL4	28/28 WL2	28/28 WL1	28/28 WL1	24/28	23/28
220224	28/28 WL1	28/28 WL2	28/28 WL4	28/28 WL2	28/28 WL2	28/28 WL3	27/28	28/28 WL3
220225	30/30	30/30 WL3	30/30 WL4	30/30 WL1	30/30	30/30	30/30	30/30 WL2
220226	31/32	32/32 WL1	32/32 WL2	32/32	29/32	31/32	31/32	32/32
220227	32/32	32/32 WL1	32/32 WL2	32/32	29/32	31/32	30/32	31/32
220228	32/32	32/32 WL1	32/32 WL2	32/32	29/32	31/32	29/32	32/32
220301	32/32	32/32 WL2	32/32 WL1	32/32	32/32	32/32	29/32	32/32
220302	32/32	32/32 WL2	32/32 WL1	32/32 WL1	32/32	32/32	29/32	29/32
220303	32/32	32/32 WL2	32/32 WL1	32/32 WL2	32/32	32/32	29/32	28/32
220304	32/32	32/32 WL2	32/32 WL1	32/32 WL2	32/32	32/32	30/32	28/32
220305	32/32	32/32 WL3	32/32 WL1	32/32 WL2	32/32	32/32	29/32	29/32
220308	32/32	32/32 WL3	32/32 WL1	32/32 WL2	32/32	32/32	30/32	29/32
220310	32/32 WL1	32/32 WL2	32/32 WL1	32/32 WL2	32/32	32/32	31/32	29/32
220314	32/32 WL1	32/32 WL2	32/32 WL1	32/32 WL2	32/32	32/32	31/32	30/32
