DATE	A01	A02
220204	0/35	0/35
220212	3/35	0/35
220213	3/35	2/35
220214	4/35	2/35
220215	16/35	3/35
220216	23/35	6/35
220216	28/35	7/35
220217	29/35	7/35
220218	30/35	7/35
220221	32/35	9/35
220222	34/35	9/35
220223	35/35 WL2	16/35
220224	35/35 WL2	26/35
220225	35/35 WL2	35/35
220226	35/35 WL2	35/35 WL2
220227	35/35 WL2	35/35 WL3
220302	35/35 WL3	35/35 WL3
220305	37/37 WL1	37/37 WL1
220306	37/37 WL2	37/37 WL1
220310	37/37 WL1	37/37 WL1
220314	37/37 WL1	37/37 WL2
220316	37/37 WL2	37/37 WL2
220323	37/37 WL3	37/37 WL2
220324	37/37 WL3	37/37 WL3
220328	37/37 WL2	37/37 WL3
220328	37/37 WL2	37/37 WL4
220330	36/37 WL1	37/37 WL4
220331	35/37	37/37 WL4
