DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019
220204	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/5
220213	0/15	0/15	0/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15	2/15	0/15	0/15	0/15	0/5
220215	0/15	0/15	0/15	0/15	1/15	1/15	1/15	1/15	0/15	0/15	2/15	0/15	0/15	0/15	2/15	0/15	2/15	0/15	2/5
220216	1/15	0/15	1/15	0/15	4/15	1/15	1/15	4/15	0/15	0/15	2/15	0/15	0/15	0/15	6/15	0/15	2/15	0/15	3/5
220216	1/15	0/15	1/15	0/15	4/15	1/15	1/15	4/15	0/15	0/15	2/15	0/15	0/15	1/15	7/15	0/15	2/15	0/15	4/5
220217	1/15	0/15	1/15	0/15	4/15	1/15	1/15	4/15	0/15	0/15	2/15	0/15	0/15	1/15	7/15	0/15	3/15	0/15	4/5
220223	2/15	0/15	1/15	0/15	4/15	1/15	1/15	4/15	0/15	0/15	2/15	0/15	0/15	1/15	7/15	0/15	3/15	0/15	4/5
220227	2/15	0/15	2/15	0/15	4/15	1/15	1/15	4/15	0/15	0/15	2/15	0/15	0/15	1/15	7/15	0/15	3/15	0/15	4/5
220301	2/15	0/15	2/15	0/15	5/15	1/15	1/15	4/15	0/15	0/15	3/15	0/15	0/15	1/15	7/15	0/15	3/15	0/15	4/5
220302	2/15	0/15	2/15	0/15	5/15	1/15	1/15	4/15	0/15	1/15	3/15	0/15	0/15	1/15	7/15	0/15	3/15	0/15	4/5
220303	2/15	1/15	2/15	0/15	6/15	1/15	1/15	4/15	0/15	1/15	3/15	0/15	0/15	1/15	7/15	0/15	3/15	0/15	4/5
220304	2/15	1/15	3/15	0/15	6/15	1/15	1/15	4/15	0/15	1/15	3/15	0/15	0/15	1/15	7/15	0/15	3/15	0/15	4/5
220305	2/15	1/15	3/15	0/15	6/15	1/15	1/15	4/15	0/15	1/15	3/15	0/15	0/15	1/15	8/15	0/15	3/15	0/15	4/5
220308	2/15	1/15	3/15	0/15	6/15	1/15	1/15	4/15	0/15	1/15	3/15	0/15	0/15	2/15	8/15	0/15	3/15	0/15	4/5
220309	2/15	1/15	3/15	0/15	6/15	1/15	1/15	4/15	0/15	1/15	3/15	0/15	0/15	2/15	8/15	0/15	3/15	0/15	5/5
220316	2/15	1/15	3/15	0/15	6/15	1/15	1/15	4/15	0/15	2/15	3/15	0/15	0/15	2/15	8/15	0/15	3/15	0/15	5/5
220324	2/15	1/15	4/15	0/15	6/15	1/15	1/15	4/15	0/15	2/15	3/15	0/15	0/15	2/15	8/15	0/15	3/15	0/15	5/5
