DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022
220212	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	1	1	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220304	1	1	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	1	1	1	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	1	1	1	1	1	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	1	1	1	1	1	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	1	1	1	1	1	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220317	1	1	1	1	1	1	0	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	1	1	1	1	1	1	0	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	1	1	1	1	1	1	0	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	1	1	1	1	1	1	0	1	1	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	1	1	1	1	1	1	0	1	1	1	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	2	1	1	1	1	2	1	1	1	1	1	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220331	2	1	1	1	1	2	1	1	1	1	1	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220404	2	1	1	1	1	2	1	1	1	1	2	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220405	2	1	1	1	1	2	1	1	1	1	2	1	1	1	0	0	0	0	N/A	N/A	N/A	N/A
220406	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	0	0	0	0	0	N/A	N/A
220408	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	0
