DATE	A01	A02
220204	0/30	0/30
220206	0/0	0/0
220218	9/25	4/25
220219	13/25	5/25
220221	17/25	9/25
220222	19/25	11/25
220223	25/25 WL1	24/25
220224	25/25 WL4	25/25 WL4
220225	25/25 WL9	25/25 WL9
220226	25/25 WL11	25/25 WL12
220228	25/25 WL12	25/25 WL12
220301	25/25 WL14	25/25 WL13
220303	25/30 WL14	25/30 WL13
220304	30/30 WL9	30/30 WL8
220311	30/30 WL9	30/30 WL9
220312	30/30 WL10	30/30 WL9
220316	30/30 WL10	30/30 WL10
220317	30/30 WL10	30/30 WL11
220323	30/30 WL10	30/30 WL10
220324	29/30 WL10	30/30 WL11
220328	30/30 WL9	30/30 WL12
220330	30/30 WL9	30/30 WL8
