DATE	A01	A02	A03	A04
220204	0/35	0/35	0/35	0/35
220212	0/35	0/35	0/35	1/35
220213	2/35	0/35	2/35	1/35
220215	7/35	1/35	2/35	2/35
220216	21/35	7/35	2/35	4/35
220216	28/35	7/35	3/35	4/35
220218	27/35	6/35	3/35	4/35
220219	28/35	6/35	3/35	4/35
220221	30/35	6/35	3/35	5/35
220222	31/35	6/35	3/35	5/35
220223	34/35 WL2	13/35	5/35	8/35
220224	35/35	20/35	10/35	9/35
220225	35/35 WL1	24/35	12/35	11/35
220226	34/35 WL1	24/35	12/35	11/35
220227	35/35 WL1	26/35	12/35	11/35
220301	35/35 WL1	26/35	11/35	11/35
220302	35/35 WL1	26/35	11/35	10/35
220304	35/35 WL1	27/35	11/35	10/35
220305	35/35 WL1	26/35	11/35	10/35
220306	35/35 WL1	26/35	12/35	10/35
