DATE	001	002	003	004	005	006	007	008	009	010	011	012	013
220216	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	1	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	1	3	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220225	1	6	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	1	8	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220303	1	8	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	1	10	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	1	11	1	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	1	11	1	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	1	11	1	0	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A
220328	1	9	1	0	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A
220330	1	15	1	0	1	1	0	0	N/A	N/A	N/A	N/A	N/A
220331	1	15	1	1	1	1	1	0	0	N/A	N/A	N/A	N/A
220404	1	16	2	1	2	1	1	1	0	0	N/A	N/A	N/A
220405	1	16	2	1	2	1	1	1	0	0	0	N/A	N/A
220406	1	16	2	1	2	1	1	1	1	1	0	N/A	N/A
220407	1	16	2	1	2	1	1	1	3	1	0	N/A	N/A
220408	1	16	2	1	2	1	1	1	3	1	1	0	N/A
220410	1	16	2	1	2	1	1	1	3	1	1	0	0
