DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016
220204	0/5	0/5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220213	0/5	1/5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220214	0/5	2/5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	0/5	8/5	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	0/5	11/5	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	0/5	11/5	0	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220217	0/5	12/5	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	0/5	13/5	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220221	0/5	14/5	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	0/5	14/5	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220225	0/5	14/5	1	1	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220226	0/5	15/5	1	1	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	0/5	18/5	1	1	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220303	0/5	18/5	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220305	0/5	18/5	1	1	1	0	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220307	0/5	19/5	1	1	1	0	0	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	0/5	19/5	1	1	1	0	0	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220309	0/5	19/5	1	1	1	0	0	1	1	0	0	N/A	N/A	N/A	N/A	N/A
220310	0/5	19/5	1	1	1	0	1	1	1	0	1	N/A	N/A	N/A	N/A	N/A
220316	0/5	20/5	1	1	1	1	1	2	1	0	1	N/A	N/A	N/A	N/A	N/A
220317	0/5	21/5	1	1	1	1	1	2	1	0	1	N/A	N/A	N/A	N/A	N/A
220321	2/5	21/5	2	1	1	1	1	3	2	1	1	1	0	0	N/A	N/A
220323	2/5	23/5	2	1	1	1	1	3	2	1	1	1	0	0	1	N/A
220324	2/5	23/5	2	2	1	1	1	3	2	1	1	1	0	0	1	N/A
220328	2/5	24/5	2	2	1	1	1	3	2	1	1	1	0	1	1	N/A
220330	2/5	25/5	2	2	1	1	1	2	2	1	1	1	0	1	1	N/A
220331	2/5	25/5	2	2	1	1	1	3	2	1	1	1	0	1	1	N/A
220404	1/5	27/5	2	2	1	1	1	3	2	1	1	1	0	1	1	1
