DATE	A01	A02	A03	A04	B01
220204	0/75	0/75	0/75	0/65	N/A
220212	6/75	0/75	0/75	0/65	N/A
220213	16/75	1/75	1/75	0/65	N/A
220214	17/75	1/75	1/75	0/65	N/A
220215	29/75	4/75	2/75	2/65	N/A
220216	54/75	20/75	8/75	3/65	N/A
220216	75/75	68/75	38/75	13/65	N/A
220217	75/75	75/75	58/75	20/65	N/A
220218	75/75	75/75	75/75	65/65	N/A
220221	75/75 WL4	75/75 WL2	75/75 WL2	65/65 WL1	N/A
220223	75/75 WL8	75/75 WL6	75/75 WL6	65/65 WL4	N/A
220224	75/75 WL13	75/75 WL13	75/75 WL13	65/65 WL11	N/A
220225	75/75 WL19	75/75 WL19	75/75 WL19	65/65 WL17	N/A
220226	75/75 WL24	75/75 WL21	75/75 WL21	65/65 WL18	N/A
220227	75/75 WL23	75/75 WL22	75/75 WL22	65/65 WL18	N/A
220228	75/75 WL23	75/75 WL22	75/75 WL22	65/65 WL19	N/A
220301	75/75 WL24	75/75 WL22	75/75 WL23	65/65 WL20	N/A
220302	75/75 WL24	75/75 WL22	75/75 WL23	65/65 WL21	N/A
220303	75/75 WL24	75/75 WL21	75/75 WL23	65/65 WL20	N/A
220304	75/75 WL23	75/75 WL21	75/75 WL23	65/65 WL20	N/A
220306	75/75 WL22	75/75 WL21	75/75 WL23	65/65 WL20	N/A
220308	75/75 WL21	75/75 WL18	75/75 WL23	65/65 WL19	2/0 WL4
