DATE	A00	B00	C00	D00	E00	F00	G00
220204	0/10	0/10	0/10	0/10	0/10	0/10	N/A
220212	N/A	0/10	0/10	0/10	1/10	0/10	N/A
220214	N/A	0/10	0/10	0/10	1/10	1/10	N/A
220215	N/A	0/10	3/10	0/10	1/10	3/10	N/A
220216	N/A	0/10	3/10	0/10	2/10	3/10	N/A
220228	N/A	0/10	3/10	0/10	2/10	3/10	0/10
220301	N/A	0/10	4/10	0/10	2/10	3/10	1/10
220302	N/A	0/10	4/10	0/10	2/10	3/10	2/10
220304	N/A	0/10	4/10	0/10	2/10	3/10	3/10
220307	N/A	0/10	5/10	0/10	2/10	3/10	3/10
220312	N/A	0/10	5/10	0/10	2/10	4/10	3/10
220314	N/A	0/10	5/10	0/10	3/10	4/10	3/10
220316	N/A	0/10	6/10	0/10	3/10	4/10	4/10
220321	N/A	0/10	6/10	1/10	4/10	4/10	4/10
