DATE	A01	A02	A03	A04
220204	0/30	0/30	0/30	0/30
220212	0/30	1/30	0/30	0/30
220213	0/30	1/30	0/30	1/30
220215	0/30	3/30	0/30	3/30
220216	1/30	4/30	0/30	6/30
220216	2/30	5/30	1/30	8/30
220218	2/30	6/30	2/30	10/30
220219	2/30	6/30	2/30	11/30
220221	2/30	7/30	2/30	11/30
220221	2/30	7/30	3/30	11/30
220222	2/30	8/30	3/30	12/30
220223	4/30	10/30	4/30	20/30
220224	4/30	11/30	4/30	24/30
220225	6/30	16/30	11/30	30/30
220226	6/30	20/30	16/30	30/30 WL1
220227	6/30	20/30	17/30	30/30
220228	6/30	20/30	18/30	30/30
220301	7/30	22/30	19/30	30/30
220302	7/30	22/30	22/30	30/30
220303	8/30	24/30	22/30	29/30
220304	7/30	24/30	22/30	29/30
220305	7/30	23/30	22/30	30/30 WL1
220307	7/30	23/30	21/30	30/30 WL1
220308	7/30	22/30	22/30	30/30 WL1
220310	7/30	22/30	23/30	30/30 WL1
220311	7/30	22/30	24/30	30/30 WL1
220312	7/30	22/30	26/30	30/30 WL1
220314	7/30	21/30	26/30	30/30 WL1
220316	7/30	23/30	27/30	30/30 WL1
220317	6/30	24/30	28/30	30/30 WL1
220321	5/30	24/30	28/30	30/30 WL1
220323	6/30	27/30	28/30	30/30
220324	6/30	27/30	29/30	30/30
220328	8/30	30/30	30/30	30/30
220328	12/30	30/30	30/30	30/30
