DATE	A01	B01	C01
220204	0/28	0/28	0/28
220212	2/28	0/28	0/28
220213	4/28	2/28	1/28
220215	7/28	3/28	4/28
220216	9/28	4/28	7/28
220216	10/28	7/28	8/28
220217	14/28	9/28	8/28
220218	18/28	14/28	9/28
220221	20/28	15/28	13/28
220223	21/28	17/28	19/28
220224	22/28	17/28	20/28
220225	24/28	18/28	23/28
220226	24/28	22/28	28/28 WL2
220227	24/28	23/28	28/28 WL3
220301	25/28	25/28	28/28 WL2
220302	25/28	26/28	28/28 WL2
220303	25/28	27/28	28/28 WL2
220304	26/28	28/28	28/28 WL2
220305	25/28	28/28 WL1	28/28 WL2
220309	28/28	28/28 WL2	28/28 WL2
