DATE	A01	A02	A03	A04
220204	0/30	0/30	0/30	0/30
220212	3/30	1/30	0/30	5/30
220213	5/30	1/30	0/30	5/30
220215	9/30	3/30	0/30	6/30
220216	19/30	7/30	1/30	9/30
220216	30/30	20/30	1/30	16/30
220217	30/30	22/30	2/30	17/30
220218	30/30	25/30	2/30	17/30
220219	30/30	25/30	2/30	18/30
220221	30/30	28/30	3/30	19/30
220223	30/30 WL2	30/30 WL2	7/30	23/30
220224	30/30 WL2	30/30 WL2	8/30	25/30
220225	30/30 WL4	30/30 WL2	16/30	30/30
220226	30/30 WL5	30/30 WL2	18/30	30/30 WL1
220228	30/30 WL5	30/30 WL3	20/30	30/30 WL1
220301	30/30 WL6	30/30 WL3	23/30	30/30 WL1
220302	30/30 WL7	29/30 WL3	23/30	30/30 WL1
220303	30/30 WL7	30/30 WL2	25/30	30/30 WL1
220304	30/30 WL7	30/30 WL2	26/30	30/30 WL1
220305	30/30 WL7	30/30 WL2	26/30	30/30
220306	30/30 WL7	30/30 WL2	27/30	30/30
220307	30/30 WL7	30/30 WL3	27/30	30/30
220308	30/30 WL7	29/30 WL3	28/30	30/30
220309	32/32 WL5	31/32	28/32	29/32
220310	32/32 WL4	31/32	29/32	29/32
220311	32/32 WL4	29/32	29/32	29/32
220312	32/32 WL4	30/32	28/32	29/32
220316	32/32 WL3	30/32	29/32	30/32
220317	32/32 WL3	31/32	30/32	30/32
220321	32/32 WL3	32/32 WL1	32/32	32/32
220324	32/32 WL3	31/32 WL1	31/32 WL1	31/32 WL1
220328	32/32 WL4	32/32 WL2	32/32 WL1	32/32 WL1
220328	32/32 WL5	32/32 WL3	32/32 WL1	32/32 WL1
220330	32/32 WL5	32/32 WL4	31/32 WL1	32/32
220331	31/32 WL5	32/32 WL4	32/32 WL1	32/32 WL3
220404	32/32 WL3	32/32 WL1	32/32 WL3	32/32 WL1
220405	32/32 WL2	32/32 WL2	32/32 WL3	32/32 WL1
220406	32/32 WL2	32/32 WL3	32/32 WL2	32/32 WL1
