DATE	A01	A02
220204	0/65	0/60
220212	1/125	N/A
220213	4/125	N/A
220214	7/125	N/A
220215	12/125	N/A
220216	18/125	N/A
220216	22/125	N/A
220217	23/125	N/A
220218	40/125	N/A
220219	41/125	N/A
220221	45/125	N/A
220223	56/125	N/A
220224	61/125	N/A
220225	76/125	N/A
220226	104/125	N/A
220227	108/125	N/A
220228	110/125	N/A
220301	112/125	N/A
220302	113/125	N/A
220303	117/125	N/A
220304	115/125	N/A
220305	116/125	N/A
220306	117/125	N/A
220307	116/125	N/A
220308	115/125	N/A
220309	116/125	N/A
220316	119/125	N/A
220321	125/125	N/A
220323	124/125 WL1	N/A
220324	124/125 WL3	N/A
220328	125/125 WL12	N/A
