DATE	A01	A02	A03	A04	A05
220204	0/40	0/40	0/40	N/A	N/A
220212	0/40	3/40	1/40	N/A	N/A
220213	2/40	5/40	3/40	N/A	N/A
220214	4/40	5/40	3/40	N/A	N/A
220215	7/40	6/40	5/40	N/A	N/A
220216	8/40	6/40	8/40	N/A	N/A
220216	10/40	9/40	9/40	N/A	N/A
220218	20/40	18/40	18/40	N/A	N/A
220219	19/40	18/40	19/40	N/A	N/A
220221	23/40	22/40	23/40	N/A	N/A
220222	23/40	24/40	23/40	N/A	N/A
220223	35/40	30/40	26/40	N/A	N/A
220224	39/40	33/40	28/40	N/A	N/A
220225	40/40 WL1	40/40 WL1	37/40	N/A	N/A
220226	40/40 WL6	40/40 WL4	40/40 WL5	N/A	N/A
220227	40/40 WL6	40/40 WL4	40/40 WL6	N/A	N/A
220228	40/40 WL7	40/40 WL4	40/40 WL6	N/A	N/A
220301	40/40 WL7	39/40 WL6	40/40 WL6	N/A	N/A
220302	40/40 WL8	40/40 WL6	40/40 WL7	N/A	N/A
220303	40/40 WL7	40/40 WL6	40/40 WL7	N/A	N/A
220305	40/40 WL8	40/40 WL6	40/40 WL6	N/A	N/A
220306	40/40 WL8	40/40 WL6	40/40 WL7	N/A	N/A
220307	40/40 WL8	40/40 WL6	40/40 WL6	N/A	N/A
220308	40/40 WL7	40/40 WL7	40/40 WL6	N/A	N/A
220314	40/40 WL6	40/40 WL7	40/40 WL6	N/A	N/A
220316	40/40 WL7	40/40 WL7	40/40 WL7	N/A	N/A
220317	40/40 WL7	40/40 WL6	39/40 WL8	N/A	N/A
220321	40/40 WL7	40/40 WL5	40/40 WL7	N/A	N/A
220328	40/40 WL6	40/40 WL6	40/40 WL8	N/A	N/A
220328	40/40 WL6	40/40 WL7	40/40 WL10	N/A	N/A
220330	40/40 WL9	40/40 WL9	38/40 WL10	N/A	N/A
220331	40/40 WL9	40/40 WL9	39/40 WL5	N/A	N/A
220404	49/49 WL1	48/48	45/45	N/A	N/A
220405	47/49 WL1	48/48 WL1	45/45 WL1	N/A	N/A
220406	49/49 WL1	48/48 WL1	45/45 WL1	N/A	N/A
220408	49/49 WL1	48/48 WL1	45/45	N/A	N/A
220410	48/49 WL1	48/48 WL1	45/45	N/A	N/A
220412	45/49 WL1	48/48 WL1	45/45	N/A	N/A
220417	43/49 WL1	45/48 WL1	44/45	N/A	N/A
220417	16/48	N/A	N/A	N/A	N/A
220823	27/32	14/32	0/32	8/32	10/32
