DATE	A01	A02	A03	A04	A05	A06	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24
220204	0/50	0/50	0/50	0/50	N/A	N/A	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25	0/25
220212	2/42	0/42	0/42	2/42	N/A	N/A	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	0/22
220213	14/42	2/42	3/42	13/42	N/A	N/A	1/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	0/22	1/22	1/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	0/22
220214	16/42	2/42	3/42	14/42	N/A	N/A	1/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	1/22	1/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	0/22
220215	23/42	4/42	3/42	17/42	N/A	N/A	2/22	0/22	0/22	1/22	0/22	1/22	0/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	1/22	1/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	1/22
220216	38/42	8/42	14/42	17/42	N/A	N/A	1/22	0/22	1/22	2/22	0/22	1/22	0/22	0/22	0/22	1/22	0/22	0/22	0/22	0/22	2/22	1/22	1/22	0/22	1/22	0/22	0/22	0/22	0/22	2/22
220216	42/42	36/42	28/42	31/42	N/A	N/A	3/22	2/22	2/22	2/22	2/22	1/22	0/22	0/22	0/22	1/22	0/22	0/22	2/22	1/22	2/22	1/22	2/22	0/22	2/22	0/22	0/22	0/22	1/22	2/22
220217	42/42	42/42	42/42	42/42	N/A	N/A	4/22	5/22	4/22	3/22	3/22	1/22	0/22	0/22	0/22	1/22	2/22	0/22	4/22	3/22	4/22	1/22	3/22	0/22	2/22	0/22	0/22	1/22	1/22	2/22
220218	42/42	42/42	42/42	42/42	N/A	N/A	22/22	22/22	22/22	14/22	20/22	7/22	5/22	3/22	3/22	4/22	6/22	10/22	8/22	21/22	9/22	13/22	13/22	6/22	6/22	6/22	5/22	9/22	10/22	4/22
220219	42/42	42/42	42/42	42/42	N/A	N/A	22/22	22/22	22/22	14/22	22/22	9/22	5/22	3/22	4/22	4/22	6/22	11/22	9/22	22/22	10/22	13/22	13/22	6/22	6/22	6/22	4/22	9/22	10/22	4/22
220220	42/42	42/42	42/42	42/42	N/A	N/A	22/22	22/22	22/22	14/22	22/22	10/22	5/22	3/22	4/22	4/22	6/22	11/22	9/22	22/22	10/22	13/22	13/22	6/22	6/22	6/22	4/22	9/22	10/22	4/22
220221	42/42 WL2	42/42 WL1	42/42	42/42 WL2	N/A	N/A	22/22	22/22	22/22	17/22	22/22	10/22	5/22	4/22	4/22	3/22	7/22	11/22	10/22	22/22	10/22	17/22	13/22	7/22	7/22	6/22	5/22	11/22	10/22	5/22
220222	42/42 WL4	42/42 WL1	42/42 WL2	42/42 WL2	N/A	N/A	22/22	22/22	22/22	17/22	22/22	10/22	5/22	4/22	4/22	3/22	7/22	11/22	10/22	22/22	10/22	17/22	13/22	7/22	7/22	6/22	5/22	12/22	10/22	5/22
220223	42/42 WL5	42/42 WL3	42/42 WL4	42/42 WL4	N/A	N/A	22/22 WL2	22/22	22/22	22/22	22/22	10/22	5/22	4/22	5/22	3/22	8/22	11/22	11/22	22/22	11/22	18/22	13/22	8/22	8/22	6/22	6/22	14/22	10/22	5/22
220224	42/42 WL6	42/42 WL5	42/42 WL5	42/42 WL5	N/A	N/A	22/22 WL2	22/22	22/22	22/22	22/22	10/22	5/22	4/22	6/22	3/22	9/22	11/22	11/22	22/22 WL1	13/22	20/22	13/22	9/22	9/22	6/22	6/22	15/22	11/22	6/22
220225	45/42 WL13	42/42 WL11	43/42 WL13	42/42 WL14	N/A	N/A	22/22 WL1	22/22	21/22 WL1	22/22	22/22	15/22	15/22	13/22	15/22	5/22	13/22	22/22	22/22	22/22	22/22	22/22	20/22	18/22	12/22	10/22	13/22	22/22	13/22	12/22
220226	45/42 WL16	42/42 WL14	44/42 WL16	42/42 WL15	N/A	N/A	22/22 WL1	22/22 WL1	22/22	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL3	22/22	22/22 WL2	22/22	22/22 WL2	22/22 WL2	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1
220227	45/42 WL16	42/42 WL14	44/42 WL16	42/42 WL16	N/A	N/A	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL3	22/22 WL1	22/22 WL2	22/22 WL1	22/22 WL2	22/22 WL2	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL2	22/22 WL1
220228	45/42 WL16	42/42 WL15	44/42 WL17	42/42 WL15	N/A	N/A	22/22 WL2	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL3	22/22 WL1	22/22 WL3	22/22 WL1	22/22 WL2	22/22 WL2	22/22 WL1	22/22 WL1	22/22 WL2	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL2	22/22 WL2	22/22 WL1
220301	45/42 WL15	42/42 WL14	44/42 WL16	42/42 WL15	N/A	N/A	22/22 WL2	22/22 WL2	22/22 WL1	22/22 WL1	23/22 WL1	22/22 WL1	23/22 WL2	22/22 WL1	23/22 WL2	22/22 WL1	22/22 WL2	22/22 WL2	22/22 WL1	22/22 WL1	22/22 WL2	22/22 WL2	22/22 WL2	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL2	22/22 WL2	22/22 WL2
220302	45/42 WL15	42/42 WL13	44/42 WL16	42/42 WL14	N/A	N/A	22/22 WL2	22/22 WL2	22/22 WL1	21/22 WL1	23/22 WL1	22/22 WL1	23/22 WL2	22/22 WL1	23/22 WL2	22/22 WL1	22/22 WL1	22/22 WL2	22/22 WL2	22/22 WL1	22/22 WL2	22/22 WL2	22/22 WL2	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL1	22/22 WL2	21/22 WL2	22/22 WL2
220303	45/45 WL9	42/45 WL11	44/45 WL15	43/45 WL14	8/0	N/A	22/25 WL2	22/25 WL2	22/25 WL1	22/25 WL1	23/25 WL1	22/25 WL1	22/25 WL2	22/25 WL1	23/25 WL2	22/25 WL1	22/25 WL1	22/25 WL2	22/25 WL2	22/25 WL1	22/25 WL2	22/25 WL2	22/25 WL2	22/25 WL1	21/25 WL1	22/25 WL1	22/25 WL1	22/25 WL1	22/25	22/25 WL2
220304	45/45 WL7	45/45 WL6	45/45 WL7	45/45 WL9	25/0 WL3	N/A	24/25	23/25	23/25	22/25	24/25	24/25	24/25	22/25	24/25	22/25	23/25	23/25	24/25	23/25	24/25	24/25	24/25	25/25	23/25	23/25	23/25	23/25	24/25	24/25
220305	45/45 WL7	45/45 WL5	45/45 WL6	45/45 WL9	27/0 WL5	N/A	24/25	23/25	23/25	22/25	25/25	23/25	24/25	22/25	24/25	22/25	23/25	23/25	24/25	23/25	24/25	24/25	25/25	25/25	23/25	23/25	24/25	23/25	24/25	24/25
220306	45/45 WL7	45/45 WL4	45/45 WL6	45/45 WL9	27/0 WL5	N/A	24/25	23/25	23/25	23/25	25/25	22/25	24/25	22/25	24/25	24/25	23/25	23/25	24/25	23/25	24/25	24/25	25/25	25/25	23/25	23/25	24/25	24/25	24/25	24/25
220307	45/45 WL7	45/45 WL4	45/45 WL6	45/45 WL9	27/0 WL6	N/A	25/25	23/25	24/25	23/25	25/25	22/25	24/25	22/25	24/25	23/25	24/25	23/25	24/25	23/25	24/25	24/25	25/25	25/25	23/25	23/25	24/25	24/25	24/25	24/25
220308	45/45 WL6	45/45 WL3	45/45 WL6	45/45 WL9	27/0 WL6	N/A	25/25	24/25	24/25	23/25	25/25	23/25	24/25	22/25	23/25	22/25	24/25	22/25	24/25	23/25	24/25	24/25	25/25	24/25	23/25	23/25	24/25	24/25	24/25	25/25
220309	45/45 WL6	45/45 WL4	45/45 WL6	45/45 WL9	27/0 WL6	N/A	24/25	23/25	24/25	23/25	25/25	23/25	24/25	22/25	23/25	22/25	24/25	22/25	23/25	23/25	23/25	24/25	25/25	25/25	23/25	23/25	25/25	23/25	24/25	25/25
220310	45/45 WL6	45/45 WL4	45/45 WL7	45/45 WL9	27/0 WL6	N/A	24/25	23/25	24/25	24/25	25/25	23/25	24/25	22/25	23/25	22/25	24/25	22/25	23/25	23/25	23/25	24/25	25/25	25/25	23/25	23/25	25/25	23/25	24/25	25/25
220311	45/45 WL6	45/45 WL4	45/45 WL7	45/45 WL9	38/45	N/A	24/25	22/25	24/25	24/25	25/25	23/25	24/25	22/25	23/25	20/25	24/25	22/25	23/25	23/25	24/25	25/25	25/25	25/25	23/25	22/25	25/25	22/25	24/25	25/25
220312	45/45 WL6	45/45 WL4	45/45 WL7	45/45 WL8	45/45	N/A	23/25	22/25	24/25	23/25	25/25	23/25	23/25	22/25	23/25	20/25	24/25	22/25	23/25	23/25	24/25	25/25	25/25	25/25	23/25	22/25	25/25	22/25	24/25	23/25
220314	45/45 WL4	45/45 WL5	45/45 WL7	45/45 WL9	45/45 WL4	N/A	23/25	23/25	25/25	24/25	25/25	22/25	23/25	23/25	23/25	20/25	24/25	22/25	23/25	23/25	24/25	25/25	25/25	25/25	23/25	22/25	25/25	21/25	25/25	24/25
220316	45/45 WL4	45/45 WL1	44/45 WL4	45/45 WL5	45/45 WL3	12/0	25/25	25/25	25/25	23/25	25/25	23/25	24/25	22/25	24/25 WL2	23/25 WL1	24/25	22/25	22/25	24/25	24/25	25/25	25/25	25/25	19/25	19/25	25/25	21/25	25/25	25/25
220317	44/45 WL4	45/45 WL1	45/45 WL3	45/45 WL5	45/45 WL3	12/0	25/25	25/25	25/25	24/25	24/25	24/25	23/25	22/25	25/25 WL1	25/25	24/25	22/25	22/25	25/25	22/25	24/25	25/25	25/25	20/25	20/25	25/25	21/25	25/25	25/25
220321	45/45 WL3	45/45 WL2	45/45 WL2	45/45 WL4	45/45 WL2	13/0	25/25	25/25	25/25	23/25	24/25	24/25	24/25	22/25	25/25 WL1	25/25	25/25	22/25	23/25	25/25	23/25	25/25	24/25	25/25	20/25	20/25	25/25	22/25	25/25	25/25
220323	44/45 WL2	45/45 WL2	45/45 WL4	45/45 WL3	45/45	31/45	25/25	25/25	25/25	24/25	24/25	24/25	25/25	22/25	25/25 WL1	25/25	23/25	22/25	23/25	25/25	25/25	24/25	24/25	25/25	19/25	20/25	25/25	22/25	25/25	25/25
