DATE	A01	A02
220204	0/27	0/27
220213	2/27	0/27
220214	2/27	2/27
220215	5/27	3/27
220216	12/27	6/27
220216	13/27	6/27
220217	13/27	7/27
220221	19/27	7/27
220222	20/27	8/27
220223	27/27 WL1	25/27
220224	27/27 WL3	27/27 WL2
220225	27/27 WL4	27/27 WL2
220228	27/27 WL3	27/27 WL2
220302	27/27 WL2	27/27 WL2
220310	27/27 WL3	27/27 WL2
220311	27/27 WL4	27/27 WL2
220312	27/27 WL4	27/27 WL3
220317	27/27 WL3	27/27 WL3
220321	27/27 WL3	27/27 WL4
220323	27/27 WL4	27/27 WL4
220324	26/27 WL4	27/27 WL4
220328	27/27 WL2	27/27 WL3
220328	27/27 WL3	27/27 WL3
220330	27/27 WL3	26/27 WL1
