DATE	A00	B00	C00	D00	E00
220204	0/110	0/110	0/100	N/A	N/A
220206	0/120	0/120	0/100	N/A	N/A
220212	1/120	0/120	0/100	N/A	N/A
220213	3/120	2/120	1/100	N/A	N/A
220214	3/120	5/120	1/100	N/A	N/A
220215	8/120	8/120	2/100	N/A	N/A
220216	16/120	10/120	6/100	N/A	N/A
220216	18/120	16/120	9/100	N/A	N/A
220217	19/120	18/120	13/100	N/A	N/A
220218	52/120	37/120	28/100	N/A	N/A
220219	54/120	37/120	29/100	N/A	N/A
220220	55/120	37/120	29/100	N/A	N/A
220221	55/120	37/120	30/100	N/A	N/A
220221	63/120	49/120	36/100	N/A	N/A
220222	69/120	51/120	38/100	N/A	N/A
220223	94/120	67/120	47/100	N/A	N/A
220224	112/120	80/120	53/100	N/A	N/A
220225	120/120 WL8	120/120 WL7	70/100	N/A	N/A
220226	120/120 WL23	120/120 WL21	100/100 WL8	N/A	N/A
220227	120/120 WL24	120/120 WL22	100/100 WL11	N/A	N/A
220228	120/120 WL24	120/120 WL23	100/100 WL11	N/A	N/A
220301	120/120 WL23	120/120 WL24	100/100 WL10	N/A	N/A
220302	120/120 WL20	120/120 WL23	100/100 WL13	N/A	N/A
220304	120/120 WL19	120/120 WL21	100/100 WL14	N/A	N/A
220305	120/120 WL19	120/120 WL21	100/100 WL13	N/A	N/A
220306	120/120 WL19	120/120 WL20	100/100 WL13	N/A	N/A
220308	120/120 WL18	118/120 WL21	100/100 WL12	N/A	N/A
220309	120/120 WL18	120/120 WL19	100/100 WL11	N/A	N/A
220310	120/120 WL17	120/120 WL19	100/100 WL12	N/A	N/A
220311	119/120 WL17	120/120 WL19	100/100 WL12	N/A	N/A
220312	120/120 WL16	120/120 WL19	100/100 WL10	N/A	N/A
220314	120/120 WL16	120/120 WL18	100/100 WL10	N/A	N/A
220316	120/120 WL13	120/120 WL17	100/100 WL10	N/A	N/A
220321	120/120 WL15	120/120 WL17	99/100 WL9	N/A	N/A
220323	119/120 WL14	119/120 WL17	100/100 WL8	N/A	N/A
220324	120/120 WL13	120/120 WL17	99/100 WL10	N/A	N/A
220328	120/120 WL9	120/120 WL12	100/100 WL6	N/A	N/A
220328	120/120 WL15	120/120 WL13	98/100 WL8	N/A	N/A
220330	113/120 WL16	116/120 WL16	96/100 WL8	N/A	N/A
220331	120/120 WL8	120/120 WL11	100/100 WL1	N/A	N/A
220404	120/120 WL9	120/120 WL10	99/100 WL2	N/A	N/A
220405	119/120 WL9	120/120 WL10	100/100 WL1	N/A	N/A
220406	119/120 WL7	120/120 WL10	98/100 WL2	N/A	N/A
220407	120/120 WL6	120/120 WL9	100/100	N/A	N/A
220408	117/120 WL4	120/120 WL7	100/100	N/A	N/A
220412	117/120 WL4	119/120 WL7	99/100	N/A	N/A
220417	112/120 WL4	118/120 WL7	98/100	N/A	N/A
220417	43/85	N/A	N/A	N/A	N/A
220823	110/110 WL15	109/110 WL14	110/110 WL32	110/110 WL24	100/100 WL15
