DATE	001	002	003	004	005	006	007	008	009	010	011	012	013
220223	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220311	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220312	1	1	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	2	1	0	1	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220317	2	1	0	1	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	2	2	0	1	2	2	1	1	1	N/A	N/A	N/A	N/A
220328	2	2	0	1	2	2	1	1	1	1	N/A	N/A	N/A
220330	2	2	0	1	2	2	1	1	1	1	0	N/A	N/A
220404	2	2	0	1	2	2	1	1	1	1	1	0	N/A
220406	2	1	0	1	2	2	1	1	1	1	1	1	0
220408	2	1	0	1	2	2	1	1	1	1	1	1	1
220823	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
