DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082
220224	0	0	0	0	0	1	1	2	5	0	0	2	0	0	1	0	2	0	2	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	1	0	0	0	2	0	2	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	3	3	0	1	1	0	0	0	1	1	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0
220225	0	0	0	0	0	1	1	2	6	0	0	2	0	0	1	0	3	0	3	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	1	0	0	1	2	0	2	0	0	0	2	2	1	0	0	0	0	0	2	0	0	0	3	3	0	2	1	0	0	0	1	1	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0
220226	0	0	0	0	0	1	1	2	6	0	0	2	0	0	2	0	3	0	3	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	1	0	1	1	2	0	2	0	0	0	2	2	1	0	0	0	0	0	2	0	0	0	3	3	0	2	1	0	0	0	1	1	0	0	0	0	0	4	0	1	0	0	0	1	1	0	1	0
220301	0	0	0	0	1	1	1	2	6	0	0	2	0	0	2	0	3	0	3	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	1	0	1	1	2	0	2	0	0	0	3	2	1	0	0	0	0	0	2	0	0	1	3	3	0	3	2	0	0	0	1	1	0	0	0	0	0	4	0	1	0	1	0	1	1	0	1	0
220302	0	0	0	0	1	1	1	2	6	0	0	2	0	0	2	0	3	0	3	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	1	0	1	1	2	0	2	0	0	0	3	2	1	0	0	0	0	0	2	0	0	1	3	3	0	4	2	0	0	0	1	1	0	0	0	0	0	4	0	1	0	1	0	1	1	0	1	0
220303	0	0	0	0	1	1	1	2	6	0	0	2	0	0	2	0	3	0	3	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	1	1	2	1	2	0	2	0	0	0	3	2	1	0	0	0	0	0	2	0	0	1	3	3	0	4	2	0	0	0	1	1	0	0	0	0	0	4	0	1	0	1	0	1	1	0	1	0
220304	0	0	0	0	1	1	1	2	7	0	0	2	0	0	2	0	3	0	3	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	1	1	2	1	2	0	2	0	0	0	3	2	1	0	0	0	0	0	2	0	0	1	3	3	0	4	2	0	0	0	1	1	0	0	1	0	0	4	0	1	0	1	0	1	1	0	1	0
220308	0	0	0	0	1	1	1	2	7	0	0	2	0	0	2	0	3	0	3	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	1	1	2	1	2	0	2	0	0	0	3	3	1	0	0	0	0	0	2	0	0	1	3	3	0	4	2	0	0	0	1	1	0	0	2	0	0	4	0	1	0	1	0	1	1	0	1	0
220309	0	0	0	0	1	1	1	2	8	0	0	2	0	0	2	0	3	0	3	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	1	1	2	1	2	0	2	0	0	0	3	3	1	0	0	0	0	0	2	0	0	1	3	3	0	4	2	0	0	0	1	1	0	0	2	0	0	4	0	1	0	1	0	1	1	0	1	0
220310	0	0	0	0	1	1	1	3	8	0	0	2	0	0	2	0	3	0	3	0	0	0	0	0	0	0	1	4	0	0	3	0	0	0	1	1	2	1	2	0	2	0	0	0	3	3	1	0	0	0	0	0	2	0	0	1	3	3	0	4	2	0	0	0	1	1	0	0	2	0	0	4	0	1	0	1	0	1	1	0	1	0
220312	0	0	0	0	1	1	1	3	8	0	0	2	0	0	2	0	3	0	3	0	0	0	0	1	0	0	1	4	0	0	3	0	0	0	1	1	2	1	2	0	2	0	0	0	3	3	1	0	0	0	0	0	3	0	0	1	3	3	0	5	2	0	0	0	1	1	0	0	2	0	0	4	0	1	0	1	0	1	1	0	1	0
220314	0	0	0	0	1	1	2	3	8	0	0	2	0	0	2	0	3	0	3	0	0	0	0	1	0	0	1	4	0	0	3	0	0	0	1	1	2	1	2	0	2	0	0	0	3	3	1	0	0	0	0	0	3	0	0	1	3	3	0	5	2	0	0	0	1	1	0	0	2	0	0	4	0	1	0	1	0	1	1	0	1	0
220316	0	0	0	0	1	1	3	3	10	0	0	5	1	0	2	0	4	0	3	0	0	0	0	1	0	0	1	5	0	0	3	0	0	0	1	2	2	2	3	0	2	0	0	0	4	3	1	0	2	0	0	0	4	0	0	1	3	4	0	5	3	0	0	0	2	1	0	0	2	0	0	4	0	1	0	2	0	1	3	0	1	0
220317	0	0	0	0	2	1	3	3	12	0	0	6	1	0	3	0	4	0	3	0	0	0	0	1	0	0	2	6	0	0	3	0	0	0	1	2	2	3	3	1	2	0	0	0	4	3	1	0	3	0	0	0	4	1	1	1	3	4	0	5	3	0	0	0	2	1	0	0	3	0	0	4	0	1	0	2	0	1	3	2	2	0
220321	0	0	0	0	2	1	4	4	12	0	0	6	3	0	3	1	4	0	3	0	0	0	0	1	0	0	5	6	0	0	4	0	0	0	1	2	3	6	3	1	2	0	0	0	4	3	1	0	3	0	0	0	5	1	1	2	3	4	0	5	3	0	0	0	3	1	0	0	5	0	0	4	0	1	0	2	0	1	4	2	2	0
220323	0	0	0	0	2	1	4	4	12	0	0	6	4	0	3	1	5	0	3	0	0	0	0	1	0	0	5	6	0	0	4	0	0	0	1	2	3	6	3	1	2	0	0	0	4	3	1	0	3	0	0	0	5	1	1	2	3	4	0	5	3	0	0	0	3	1	0	0	5	0	0	4	0	1	0	2	0	1	4	2	2	0
220324	0	0	0	0	2	1	4	4	12	0	0	6	4	0	3	1	5	0	3	0	0	0	0	1	0	0	5	6	0	0	4	0	0	1	1	2	3	6	3	1	2	0	0	0	4	3	1	0	3	0	0	0	5	1	1	2	3	4	0	5	3	0	0	0	3	1	0	0	5	0	0	4	0	1	0	2	0	1	4	2	2	0
220328	0	0	0	0	2	1	4	4	13	0	0	6	4	0	3	1	5	0	3	0	0	0	0	1	0	0	5	6	0	0	4	0	0	1	1	2	3	6	3	1	2	0	0	0	4	3	1	0	3	0	0	0	5	1	1	2	3	4	0	5	3	0	0	0	3	1	0	0	5	0	0	4	0	1	0	2	0	1	4	2	2	0
220330	0	0	0	0	2	1	4	4	13	0	0	5	4	0	3	1	5	0	3	0	0	0	0	0	0	0	5	6	0	0	4	0	0	1	1	2	3	6	3	1	2	0	0	0	4	3	1	0	3	0	0	0	5	1	1	2	3	4	0	5	3	0	0	0	3	1	0	0	5	0	0	4	0	1	0	2	0	1	4	2	2	0
220417	0	0	0	0	2	1	4	4	13	0	0	5	4	0	3	1	5	0	4	0	0	0	0	0	0	0	5	6	0	0	4	0	0	1	1	2	3	6	3	1	2	0	0	0	4	3	1	0	3	0	0	0	5	1	1	2	3	4	0	5	3	0	0	0	3	1	0	0	5	0	0	4	0	1	0	2	0	1	4	2	2	0
220823	0	0	0	0	1	1	1	3	9	0	0	4	1	0	2	1	1	0	1	0	0	0	0	0	0	0	3	5	0	0	1	0	0	0	0	1	3	3	2	1	2	0	0	0	3	2	0	0	2	0	0	0	2	0	1	2	1	4	0	4	3	0	0	0	3	0	0	0	2	0	0	4	0	1	0	3	0	2	3	2	1	0
