DATE	A01	A02	B01	B02	B03	B04	B05	C01	C02	C03	C04	D01	D02	D03	D04	D05
220204	0/70	0/45	0/70	0/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220212	1/70	0/45	0/70	0/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220213	2/70	2/45	5/70	1/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220215	3/70	3/45	8/70	1/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	4/70	3/45	10/70	3/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220216	14/70	5/45	16/70	4/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220217	16/70	5/45	19/70	6/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220218	42/70	17/45	49/70	18/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220219	42/70	19/45	50/70	20/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220221	43/70	23/45	54/70	20/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220222	43/70	24/45	56/70	20/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220223	52/70	24/45	62/70	26/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220224	54/70	27/45	68/70	28/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220225	70/70 WL4	45/45	70/70 WL4	45/45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220226	70/70 WL9	45/45 WL10	70/70 WL9	45/45 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220227	70/70 WL10	45/45 WL9	70/70 WL9	45/45 WL6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220228	70/70 WL10	45/45 WL10	70/70 WL9	45/45 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	70/70 WL11	45/45 WL9	70/70 WL9	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	70/70 WL10	45/45 WL8	70/70 WL8	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220304	70/70 WL8	45/45 WL8	70/70 WL9	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220306	70/70 WL8	45/45 WL7	70/70 WL9	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220307	70/70 WL9	45/45 WL7	70/70 WL9	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220308	70/70 WL9	45/45 WL8	70/70 WL9	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220309	70/70 WL9	45/45 WL8	70/70 WL10	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220310	70/70 WL9	45/45 WL8	70/70 WL9	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220312	70/70 WL9	44/45 WL8	70/70 WL9	45/45 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220314	70/70 WL8	45/45 WL7	70/70 WL9	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220316	70/70 WL8	45/45 WL7	70/70 WL8	45/45 WL8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220317	70/70 WL10	45/45 WL7	70/70 WL7	45/45 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220321	70/70 WL11	45/45 WL7	70/70 WL6	44/45 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220323	69/70 WL11	45/45 WL7	70/70 WL6	44/45 WL6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220324	70/70 WL9	45/45 WL8	70/70 WL6	45/45 WL6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	70/70 WL8	45/45 WL5	70/70 WL6	45/45 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220328	70/70 WL8	45/45 WL5	70/70 WL7	45/45 WL7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220330	70/70 WL8	43/45 WL7	68/70 WL7	45/45 WL6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220331	70/70 WL7	45/45 WL7	69/70 WL4	45/45 WL6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220404	70/70 WL6	45/45 WL8	70/70 WL2	44/45 WL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220405	70/70 WL7	45/45 WL8	70/70 WL2	45/45 WL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220406	70/70 WL7	45/45 WL8	70/70 WL4	45/45 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220408	69/70 WL5	45/45 WL7	70/70 WL4	45/45 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220410	69/70 WL4	45/45 WL7	70/70 WL4	45/45 WL4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
