DATE	A00	B00	C00
220204	0/20	0/20	N/A
220213	5/20	4/20	N/A
220214	7/20	4/20	N/A
220215	11/20	10/20	N/A
220216	16/20	17/20	N/A
220216	20/20	20/20	N/A
220221	20/20	19/20	N/A
220221	20/20	20/20	N/A
220222	20/20 WL1	20/20	N/A
220223	20/20 WL4	20/20 WL2	N/A
220224	20/20 WL5	20/20 WL5	N/A
220225	20/20 WL10	20/20 WL8	N/A
220226	20/20 WL10	20/20 WL10	N/A
220227	20/20 WL12	20/20 WL10	N/A
220302	20/20 WL13	20/20 WL10	N/A
220304	20/20 WL12	20/20 WL10	N/A
220310	20/20 WL11	20/20 WL10	N/A
220311	20/20 WL12	20/20 WL9	N/A
220323	20/20 WL11	20/20 WL9	N/A
220328	20/20 WL12	20/20 WL9	N/A
220328	20/20 WL12	20/20 WL10	N/A
220330	19/20 WL11	19/20 WL9	N/A
220331	20/20 WL8	20/20 WL8	N/A
220404	20/20 WL6	20/20 WL6	N/A
220406	20/20 WL3	20/20 WL5	N/A
220408	19/20 WL1	24/22 WL1	N/A
220417	6/20	N/A	N/A
220417	9/20	N/A	N/A
220823	15/20 WL6	16/20 WL5	13/20 WL5
