DATE	001	002	003	004
220204	0/10	0/15	0/15	N/A
220213	0/10	1/15	0/15	N/A
220215	1/10	2/15	0/15	N/A
220216	1/10	5/15	3/15	N/A
220221	1/10	6/15	3/15	N/A
220223	1/10	8/15	3/15	N/A
220225	1/10	8/15	2/15	N/A
220226	1/10	9/15	2/15	0/5
220227	1/10	10/15	2/15	0/5
220303	1/10	11/15	3/15	0/5
220304	1/10	13/15	3/15	0/5
220305	4/10	13/15	3/15	N/A
220308	6/10	13/15	3/15	N/A
220312	7/10	13/15	3/15	N/A
220314	6/10	13/15	3/15	N/A
220316	5/10	14/15	3/15	N/A
220324	6/10	14/15	3/15	N/A
220330	6/10	12/15	3/15	N/A
220404	6/10	11/15	4/15	N/A
220405	6/10	10/15	4/15	N/A
