DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09
220204	0/20	0/20	0/20	0/20	0/20	0/20	0/20	0/20	0/20
220212	0/20	0/20	0/20	0/20	0/20	0/20	0/20	1/20	0/20
220213	1/20	2/20	0/20	3/20	0/20	0/20	0/20	1/20	0/20
220214	2/20	2/20	0/20	3/20	0/20	1/20	0/20	1/20	0/20
220215	9/20	3/20	0/20	13/20	4/20	4/20	0/20	1/20	0/20
220216	14/20	7/20	1/20	18/20	10/20	6/20	2/20	4/20	1/20
220216	18/20	10/20	2/20	20/20	14/20	9/20	3/20	4/20	1/20
220217	18/20	10/20	2/20	20/20	14/20	11/20	4/20	4/20	1/20
220218	18/20	12/20	3/20	20/20	14/20	11/20	4/20	4/20	1/20
220219	18/20	13/20	4/20	20/20	14/20	11/20	5/20	6/20	1/20
220221	20/20	13/20	4/20	20/20	14/20	11/20	6/20	5/20	2/20
220222	20/20	13/20	4/20	20/20	14/20	12/20	6/20	5/20	3/20
220223	18/20	14/20	4/20	20/20 WL1	17/20	14/20	6/20	5/20	6/20
220224	20/20 WL1	14/20	3/20	19/20 WL1	19/20	15/20	9/20	6/20	6/20
220225	20/20 WL1	17/20	8/20	20/20	20/20	17/20	10/20	5/20	6/20
220226	20/20 WL1	17/20	7/20	20/20	20/20	18/20	10/20	5/20	6/20
220227	20/20 WL1	17/20	7/20	20/20	20/20	19/20	10/20	5/20	6/20
220228	20/20 WL2	17/20	7/20	20/20	20/20	19/20	10/20	5/20	6/20
220301	19/20 WL2	20/20 WL1	12/20	20/20 WL2	20/20	19/20	13/20	N/A	N/A
220302	20/20 WL1	20/20 WL1	12/20	20/20 WL2	20/20	19/20	14/20	N/A	N/A
220305	20/20 WL1	20/20 WL1	11/20	20/20 WL2	20/20	19/20	14/20	N/A	N/A
220306	20/20 WL1	20/20 WL1	12/20	20/20 WL2	20/20 WL1	19/20	14/20	N/A	N/A
220307	20/20 WL1	20/20 WL1	12/20	19/20 WL2	20/20 WL1	19/20	15/20	N/A	N/A
220308	20/20 WL1	20/20 WL2	12/20	20/20 WL1	19/20 WL1	20/20	15/20	N/A	N/A
220309	20/20 WL1	20/20 WL2	12/20	20/20 WL1	20/20	20/20	16/20	N/A	N/A
220310	20/20 WL1	20/20 WL2	11/20	20/20 WL1	20/20	20/20	16/20	N/A	N/A
220314	20/20 WL1	20/20 WL2	14/20	20/20	20/20	20/20	17/20	N/A	N/A
220316	20/20 WL1	20/20 WL2	15/20	20/20	20/20	20/20	17/20	N/A	N/A
220321	20/20 WL1	20/20 WL1	15/20	19/20	20/20	20/20	18/20	N/A	N/A
220328	20/20	20/20 WL1	16/20	19/20	20/20	20/20	18/20	N/A	N/A
220328	20/20	19/20 WL1	17/20	19/20	20/20	20/20	19/20	N/A	N/A
220330	19/20	20/20	20/20	20/20	20/20	18/20	18/20	N/A	N/A
220331	19/20	20/20	20/20	20/20	20/20	17/20	18/20	N/A	N/A
220404	19/20	20/20	19/20	20/20	20/20	18/20	17/20	N/A	N/A
