DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A
220212	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A
220213	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	N/A
220215	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	N/A
220218	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	N/A
220220	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	N/A
220223	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	N/A
220226	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	2	2	N/A
220227	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	2	2	N/A
220301	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	2	2	N/A
220302	2	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	2	2	N/A
220303	2	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	2	3	N/A
220304	2	1	1	0	1	1	1	1	0	1	0	2	1	1	0	1	1	0	2	3	N/A
220306	3	1	1	0	1	1	1	1	0	1	1	2	2	1	0	1	1	0	2	3	N/A
220307	4	1	1	0	1	1	1	1	0	1	1	2	2	1	0	1	1	0	2	3	N/A
220308	5	1	1	0	1	1	1	1	0	1	1	2	2	1	0	1	1	0	2	3	N/A
220309	5	1	1	0	1	1	1	1	0	1	1	2	3	1	0	1	1	0	3	3	N/A
220311	5	1	1	0	2	1	1	1	0	1	1	2	3	1	0	1	1	0	3	3	N/A
220312	5	1	1	1	2	1	1	1	0	1	1	2	3	1	0	1	1	0	3	3	N/A
220316	5	1	1	1	2	1	2	1	0	1	1	2	3	1	0	1	1	0	3	3	N/A
220317	6	1	1	1	2	1	2	1	0	1	1	2	3	1	0	1	1	0	3	3	N/A
220321	6	1	2	1	2	1	2	1	2	1	1	2	3	1	2	1	1	0	3	3	N/A
220328	6	1	2	1	2	1	2	1	2	1	2	2	3	1	2	1	1	0	3	2	N/A
220328	6	1	0	1	2	1	2	1	3	1	3	2	3	1	2	1	1	0	3	2	N/A
220330	6	1	0	1	2	1	2	1	3	1	3	2	3	2	2	1	1	0	3	2	N/A
220404	6	1	0	1	2	1	2	1	3	1	3	2	4	2	2	1	1	0	3	2	0
220823	1	3	1	1	0	0	0	0	0	1	1	1	2	1	0	1	1	0	N/A	N/A	N/A
