DATE	A01	A02
220204	0/65	0/65
220212	0/65	2/65
220213	2/65	4/65
220214	3/65	4/65
220215	5/65	9/65
220216	5/65	11/65
220218	5/65	12/65
220221	5/65	16/65
220223	12/65	24/65
220224	19/65	29/65
220225	22/65	33/65
220226	24/65	32/65
220227	24/65	33/65
220228	25/65	32/65
220301	25/65	33/65
220302	25/65	35/65
220303	27/65	34/65
220304	27/65	33/65
220305	27/65	34/65
220306	27/65	35/65
220307	27/65	36/65
220308	27/65	37/65
220310	26/65	37/65
220311	26/65	36/65
220312	27/65	36/65
220314	28/65	37/65
220316	28/65	36/65
220317	26/65	36/65
220321	27/65	37/65
220323	28/65	38/65
