DATE	A01	A02
220204	0/24	0/24
220212	1/24	0/24
220213	2/24	0/24
220215	3/24	0/24
220217	5/24	0/24
220221	9/24	0/24
220223	14/24	0/24
220224	15/24	0/24
220225	18/24	2/24
220226	21/24	3/24
220301	23/24	3/24
220302	24/24	3/24
220303	23/24	3/24
220308	22/24	3/24
220314	22/24	5/24
220316	20/24	4/24
220321	19/24	5/24
220324	20/24	6/24
220328	23/24	7/24
220328	24/24	10/24
220330	23/24	14/24
220331	24/24	15/24
220404	19/24	15/24
220405	18/24	15/24
220406	19/24	15/24
220407	21/24	14/24
220408	17/24	14/24
220410	18/24	13/24
220417	16/24	13/24
