DATE	001	002	003	004	005	006	007	008	009	010	011	012	A00	B00	C00	D00	E00	F00	G00	H00	I00	J00	K00	L00
220204	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/50	0/50	0/50	0/50	0/50	0/50	0/50	0/50	0/50	0/50	0/50	0/50
220212	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/50	0/50	0/50	1/50	0/50	0/50	0/50	0/50	0/50	0/50	1/50	0/50
220213	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0/50	0/50	0/50	1/50	0/50	2/50	1/50	0/50	2/50	0/50	1/50	1/50
220214	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1/50	1/50	1/50	2/50	0/50	2/50	2/50	0/50	4/50	2/50	2/50	2/50
220215	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1/50	2/50	2/50	3/50	2/50	2/50	2/50	4/50	5/50	2/50	2/50	5/50
220216	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2/50	3/50	3/50	4/50	2/50	3/50	2/50	5/50	8/50	3/50	2/50	7/50
220216	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3/50	4/50	4/50	5/50	2/50	4/50	2/50	6/50	8/50	3/50	2/50	8/50
220218	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3/50	4/50	5/50	5/50	3/50	4/50	3/50	7/50	8/50	4/50	2/50	8/50
220219	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4/50	5/50	5/50	7/50	3/50	4/50	3/50	7/50	8/50	4/50	2/50	10/50
220221	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4/50	5/50	5/50	7/50	3/50	4/50	3/50	8/50	8/50	4/50	3/50	10/50
220223	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4/50	5/50	7/50	8/50	4/50	5/50	3/50	8/50	8/50	5/50	4/50	10/50
220224	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5/50	5/50	7/50	8/50	4/50	7/50	3/50	9/50	8/50	5/50	4/50	10/50
220225	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6/50	5/50	7/50	8/50	5/50	8/50	3/50	9/50	8/50	5/50	4/50	10/50
220226	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6/50	5/50	7/50	9/50	5/50	8/50	3/50	10/50	8/50	5/50	4/50	10/50
220227	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6/50	6/50	7/50	9/50	5/50	8/50	3/50	10/50	8/50	5/50	4/50	10/50
220301	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7/50	7/50	7/50	9/50	5/50	8/50	3/50	11/50	8/50	6/50	5/50	12/50
220302	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7/50	7/50	7/50	9/50	5/50	10/50	3/50	11/50	8/50	6/50	5/50	12/50
220303	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7/50	7/50	7/50	9/50	5/50	11/50	3/50	11/50	8/50	6/50	5/50	12/50
220305	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8/50	9/50	7/50	10/50	7/50	15/50	7/50	13/50	10/50	8/50	8/50	13/50
