DATE	A00	B00	C00
220204	0/50	0/50	0/40
220212	27/50	7/50	8/40
220213	32/50	14/50	9/40
220214	33/50	17/50	12/40
220215	35/50	21/50	13/40
220216	38/50	20/50	13/40
220216	39/50	22/50	13/40
220217	38/50	22/50	14/40
220218	40/50	24/50	15/40
220219	42/50	24/50	16/40
220220	42/50	24/50	15/40
220221	43/50	25/50	16/40
220222	44/50	25/50	17/40
220223	46/50	28/50	17/40
220225	49/50	32/50	17/40
220226	49/50	33/50	17/40
220301	49/50	34/50	18/40
220302	50/50	35/50	19/40
220303	50/50	35/50	20/40
220304	50/50	37/50	20/40
220305	50/50	38/50	21/40
220306	50/50	38/50	22/40
220307	50/50 WL1	39/50	22/40
220308	50/50 WL3	39/50	22/40
220309	50/50 WL3	40/50	22/40
220311	50/50 WL4	40/50	22/40
220314	49/50 WL4	40/50	20/40
220316	50/50 WL2	40/50	20/40
220317	50/50 WL3	40/50	19/40
220321	50/50 WL3	38/50	19/40
220323	50/50 WL4	40/50	18/40
220328	50/50 WL3	41/50	18/40
220328	50/50 WL3	40/50	19/40
220330	49/50 WL4	40/50	19/40
220331	50/50 WL3	37/50	19/40
220404	50/53 WL2	36/50	19/40
220405	52/53 WL1	36/50	19/40
220406	52/53	39/50	19/40
220407	52/53	38/50	19/40
