DATE	A01	A02	A03	A04	A05	A06	A07	A08
220204	0/20	0/20	0/20	0/20	0/20	0/20	0/20	0/20
220212	1/20	0/20	0/20	0/20	0/20	0/20	1/20	0/20
220213	4/20	0/20	1/20	0/20	1/20	0/20	3/20	0/20
220214	4/20	0/20	1/20	1/20	1/20	0/20	3/20	0/20
220215	6/20	2/20	2/20	1/20	4/20	0/20	4/20	0/20
220216	7/20	4/20	6/20	1/20	9/20	0/20	9/20	3/20
220216	10/23	6/23	9/23	3/23	11/23	1/23	11/23	4/23
220217	10/23	7/23	10/23	3/23	12/23	2/23	12/23	4/23
220218	14/23	8/23	9/23	4/23	16/23	3/23	12/23	5/23
220219	13/23	8/23	9/23	4/23	17/23	3/23	12/23	5/23
220221	13/23	8/23	9/23	5/23	18/23	3/23	12/23	5/23
220223	13/23	8/23	10/23	5/23	18/23	3/23	13/23	5/23
220224	17/23	8/23	13/23	6/23	20/23	5/23	15/23	6/23
220225	19/23	10/23	17/23	11/23	23/23	5/23	17/23	9/23
220226	23/23 WL1	11/23	18/23	12/23	23/23	7/23	18/23	10/23
220228	23/23 WL1	11/23	19/23	12/23	23/23	7/23	18/23	10/23
220301	23/23	13/23	22/23	12/23	23/23	7/23	18/23	10/23
220302	23/23	13/23	22/22	12/23	23/23	7/23	19/20	10/23
220303	23/23	14/23	22/22	13/23	23/23	7/23	20/20	11/23
220304	23/23	15/23	22/22	13/23	23/23	7/23	20/20	11/23
220306	23/23	15/23	22/22	13/23	23/23	7/23	20/20	12/23
220307	23/23	15/23	22/22	13/23	23/23	8/23	20/20	12/23
220309	23/23	16/23	22/22	13/23	23/23	8/23	20/20	12/23
220310	23/23	16/23	22/22	14/23	23/23	8/23	20/20	11/23
220312	23/23	16/23	22/22	14/23	23/23	9/23	20/20	11/23
220314	23/23	16/23	21/22	14/23	23/23	10/23	20/20	11/23
220316	23/23	17/23	22/22	14/23	23/23	10/23	20/20	12/23
