DATE	A01	B01	C01
220204	0/35	0/35	N/A
220212	1/35	2/35	N/A
220213	4/35	19/35	N/A
220214	3/35	22/35	N/A
220215	32/35	35/35	N/A
220216	35/35	35/35	N/A
220221	34/35 WL3	35/35 WL4	N/A
220222	35/35 WL3	35/35 WL4	N/A
220223	35/35 WL23	35/35 WL17	N/A
220224	35/35 WL25	35/35 WL19	N/A
220225	35/30 WL25	35/30 WL20	N/A
220226	35/30 WL25	35/30 WL21	N/A
220301	35/30 WL28	35/30 WL21	N/A
220302	35/30 WL27	35/30 WL20	N/A
220303	35/30 WL26	35/30 WL19	0/20
220305	35/30 WL24	35/30 WL17	1/20
220312	35/30 WL25	35/30 WL17	1/20
