DATE	A00	B00
220204	0/40	0/70
220212	1/40	4/70
220213	3/40	6/70
220214	4/40	9/70
220215	9/40	18/70
220216	12/40	22/70
220216	15/40	26/70
220217	18/40	27/70
220218	20/40	32/70
220219	23/40	33/70
220220	24/40	33/70
220221	26/40	33/70
220221	27/40	34/70
220222	28/40	36/70
220223	28/40	39/70
220225	28/40	40/70
220227	28/40	41/70
220228	28/40	42/70
220301	30/40	42/70
220302	31/40	42/70
220303	31/40	43/70
220304	31/40	46/70
220308	32/40	46/70
220309	32/40	47/70
220310	32/40	49/70
220311	33/40	50/70
220314	34/40	50/70
220316	34/40	51/70
220321	34/40	54/70
220323	35/40	57/70
220330	35/40	59/70
