DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082
220221	1	2	0	0	2	0	1	6	3	1	1	0	0	6	0	0	0	2	0	4	0	5	2	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	1	5	0	0	1	1	0	0	0	1	3	1	1	2	4	3	0	1	1	0	2	0	3	0	5	0	2	0	2	1	0	2	2	4	0	1	1	1	2	1	N/A	N/A	N/A
220223	1	2	0	0	2	0	2	6	3	1	2	1	0	6	0	0	0	3	0	4	0	5	2	0	0	2	0	0	1	0	1	1	0	0	1	0	0	1	0	1	5	0	0	1	1	0	0	0	1	3	1	2	3	4	3	0	1	2	0	2	0	3	0	6	0	2	0	2	1	0	3	2	4	0	1	1	1	2	1	N/A	N/A	N/A
220224	1	2	0	0	2	0	2	6	3	1	2	1	0	6	0	0	0	3	0	4	0	6	2	1	0	2	0	0	1	0	1	1	0	0	1	0	0	1	0	1	5	0	0	1	1	0	0	0	1	3	1	2	3	4	3	0	1	2	0	2	0	3	0	6	0	2	0	2	1	0	3	2	4	0	1	1	1	2	1	N/A	N/A	N/A
220225	1	2	0	0	2	0	2	6	3	1	2	1	0	6	0	0	0	3	0	4	0	6	2	1	0	2	0	0	1	0	1	1	0	0	1	0	0	2	0	1	5	0	0	1	2	0	0	0	1	3	1	2	3	4	3	0	1	2	0	3	0	3	0	6	0	3	0	2	1	0	3	2	4	0	1	1	1	4	1	N/A	N/A	N/A
220226	1	2	0	0	2	0	2	6	3	1	2	2	0	6	0	0	0	3	0	5	0	6	2	2	0	2	0	0	1	0	1	1	0	0	1	0	0	2	0	1	6	0	0	1	2	1	0	0	1	3	2	2	3	4	3	0	1	2	0	3	1	5	0	6	0	3	0	2	1	0	3	2	4	0	1	1	1	5	1	N/A	N/A	N/A
220227	1	2	0	0	2	0	2	6	3	1	2	2	0	6	0	0	0	3	0	5	0	6	2	2	0	2	0	0	1	0	1	1	0	0	1	0	0	2	0	1	6	0	0	1	2	1	0	0	1	4	2	2	3	4	3	0	1	2	0	3	1	5	0	6	0	3	0	2	1	0	3	2	4	0	1	1	1	5	1	N/A	N/A	N/A
220228	1	2	0	0	2	0	2	6	3	1	2	2	0	6	0	0	0	3	0	5	0	6	2	2	0	2	0	0	1	0	1	1	0	0	1	0	0	2	1	1	6	0	0	1	2	1	0	0	1	4	2	2	3	4	4	0	1	2	0	3	1	5	0	6	0	4	0	2	1	0	3	2	4	0	1	1	2	5	1	N/A	N/A	N/A
220301	1	2	0	0	2	0	3	9	3	1	3	2	0	8	0	0	0	4	1	5	0	6	2	2	1	3	0	0	1	0	1	1	0	0	1	0	0	2	2	1	8	1	0	1	2	1	0	0	1	4	2	3	4	5	4	0	1	2	1	3	3	5	0	6	0	4	1	2	1	0	3	2	4	0	1	1	3	5	1	N/A	N/A	N/A
220302	2	2	0	0	3	0	3	9	3	1	5	2	0	8	0	0	0	4	1	6	0	6	2	2	1	3	0	0	1	0	1	1	0	0	1	0	0	3	2	1	11	1	0	1	2	1	0	0	1	4	2	3	4	5	4	0	1	2	1	3	3	5	0	7	0	5	1	2	1	0	3	2	5	0	1	1	3	5	1	N/A	N/A	N/A
220303	2	2	0	0	3	0	3	9	3	1	6	2	0	8	0	0	0	5	1	6	0	6	2	2	1	3	0	0	1	0	1	1	0	0	1	0	0	3	2	1	11	1	0	1	2	1	0	0	1	4	2	3	4	5	4	0	1	2	1	3	4	5	0	7	0	5	1	2	1	0	3	2	5	0	1	2	3	5	1	N/A	N/A	N/A
220304	2	2	0	0	3	1	3	9	3	1	6	2	0	8	0	0	0	5	1	6	0	6	2	3	1	3	0	0	1	0	1	1	0	0	1	0	1	3	2	1	11	2	0	1	2	1	0	0	1	4	2	3	4	5	5	1	1	2	1	3	4	5	0	7	0	5	1	2	1	0	3	2	5	0	1	2	3	5	1	N/A	N/A	N/A
220305	2	2	0	0	3	1	3	9	3	1	6	2	0	8	0	0	1	5	1	6	0	6	2	3	1	3	0	0	1	0	1	1	0	0	1	0	1	3	2	1	11	2	0	1	2	1	0	0	1	4	2	3	4	5	6	1	1	2	1	3	4	5	0	7	0	5	1	2	1	0	3	2	5	0	1	2	3	5	1	N/A	N/A	N/A
220306	2	2	0	0	3	1	3	9	3	1	6	2	0	8	0	0	1	5	1	6	0	6	2	3	1	3	0	0	1	0	1	1	0	0	1	0	1	3	2	1	11	2	0	1	2	2	0	0	1	4	2	3	4	5	7	1	1	2	1	3	4	5	0	7	0	5	1	2	1	0	3	2	5	0	1	2	3	5	1	N/A	N/A	N/A
220307	2	2	0	0	3	1	3	9	3	1	6	2	0	8	0	0	1	5	1	6	0	6	2	4	1	3	0	0	1	0	1	1	0	0	1	0	1	3	2	1	11	2	0	1	2	2	0	0	1	4	2	3	4	5	7	1	1	2	1	3	4	5	1	7	0	5	1	2	1	0	3	2	5	0	1	2	3	5	1	N/A	N/A	N/A
220308	2	2	0	0	3	1	3	9	3	1	6	2	0	8	0	0	1	5	1	6	0	6	2	4	1	3	0	0	1	0	1	1	0	0	1	0	1	3	2	1	11	2	0	1	2	2	0	0	1	4	2	3	4	5	7	1	1	2	1	3	4	5	3	7	0	5	1	2	1	0	3	2	5	0	1	2	3	5	1	N/A	N/A	N/A
220309	2	2	0	0	3	1	3	9	3	1	6	2	0	8	0	0	1	5	1	6	0	6	2	4	1	3	0	0	1	0	1	1	0	0	1	0	1	3	3	1	11	2	0	1	2	2	0	0	1	4	2	3	4	5	7	1	1	2	1	3	4	5	3	7	0	5	1	3	1	0	3	2	6	0	1	2	3	5	1	N/A	N/A	N/A
220310	2	2	0	0	3	1	3	9	3	1	6	2	0	8	1	0	1	5	1	6	0	6	2	4	1	3	0	0	1	0	1	1	0	1	1	0	1	3	3	1	11	2	0	1	2	2	0	0	1	4	2	3	4	5	9	1	1	2	2	3	4	5	3	8	0	5	1	3	1	0	3	2	6	0	1	2	3	5	1	N/A	N/A	N/A
220311	2	2	0	0	3	2	3	9	3	1	6	2	0	8	1	0	1	5	1	6	0	6	2	4	1	3	0	1	1	0	1	1	0	1	1	0	1	3	3	1	11	2	0	1	2	2	0	0	1	4	2	3	4	5	9	1	1	2	2	3	4	5	3	8	0	5	1	3	1	0	3	2	6	0	1	2	3	5	1	N/A	N/A	N/A
220312	2	2	0	0	3	2	3	9	3	1	6	2	0	8	1	0	1	5	1	6	0	6	2	4	1	3	0	1	1	0	1	1	0	1	1	0	1	3	3	1	11	2	0	1	2	2	0	0	1	4	2	3	4	5	10	1	1	2	2	3	4	5	3	9	0	6	1	3	1	0	3	2	6	0	1	2	3	5	1	N/A	N/A	N/A
220314	2	2	0	0	3	2	3	9	3	1	6	2	1	8	1	0	1	5	1	6	0	6	2	4	1	3	0	1	1	0	1	1	0	1	1	0	1	3	3	2	11	2	0	2	2	2	0	0	1	4	2	3	4	5	10	1	1	2	2	3	4	5	3	9	0	6	1	3	1	0	3	2	6	0	1	2	4	5	2	N/A	N/A	N/A
220316	3	3	0	0	6	2	5	9	4	1	9	2	1	9	1	0	1	6	1	6	0	6	2	4	1	3	1	1	2	0	2	2	0	1	1	0	3	3	3	3	12	2	1	3	2	2	0	0	1	5	2	3	4	7	11	1	1	2	3	4	6	5	3	10	0	7	1	4	1	0	3	2	6	0	3	2	4	5	3	N/A	N/A	N/A
220317	3	3	0	0	6	2	5	10	4	1	9	2	2	9	1	0	1	6	1	6	0	6	2	4	1	3	1	1	2	0	2	2	0	1	1	0	3	3	3	3	13	3	1	3	2	2	0	0	1	5	2	3	4	7	12	1	1	2	3	4	6	5	4	11	0	7	1	4	1	0	3	2	6	0	3	2	4	5	3	N/A	N/A	N/A
220321	4	3	0	0	6	2	5	11	4	1	9	2	2	9	1	0	1	7	1	6	1	6	2	4	2	3	1	1	4	0	2	3	0	1	1	0	4	3	3	3	14	3	1	3	2	2	0	0	2	5	2	4	5	7	14	1	1	3	4	5	6	6	5	12	1	7	1	4	1	0	4	2	7	0	4	2	4	6	4	N/A	N/A	N/A
220323	4	3	0	0	6	2	5	11	4	1	9	2	2	9	1	0	1	7	1	6	1	6	2	4	2	3	1	1	4	0	2	3	0	1	1	0	4	3	3	3	15	3	1	3	2	2	0	0	2	5	2	4	5	7	16	1	1	3	4	5	6	6	5	12	1	7	1	4	1	0	4	2	7	0	4	2	4	6	4	N/A	N/A	N/A
220324	4	3	0	0	6	2	5	11	4	1	10	2	2	9	1	0	1	7	1	6	1	6	3	4	2	3	1	1	4	1	3	3	0	1	1	0	4	3	3	3	15	3	1	3	2	2	0	0	2	5	2	5	5	7	16	1	1	3	4	5	6	7	5	13	1	7	1	4	1	0	4	2	7	0	4	2	4	7	4	N/A	N/A	N/A
220328	4	3	0	0	6	2	5	11	4	1	10	2	2	9	1	0	1	7	1	6	1	6	3	4	2	3	1	1	4	1	3	3	0	1	1	0	4	3	3	3	15	3	1	3	2	2	0	0	2	5	2	5	6	7	17	1	1	3	4	5	6	7	5	13	1	7	1	4	1	0	4	2	7	0	4	2	4	7	4	N/A	N/A	N/A
220330	4	3	0	0	6	2	5	10	4	1	10	2	2	9	1	0	1	7	1	6	3	6	3	4	2	3	1	1	4	1	3	3	0	1	1	0	4	3	3	3	15	3	1	3	2	2	0	0	2	5	2	5	8	7	17	1	1	3	4	5	7	7	5	13	1	7	1	4	1	0	4	2	7	0	4	2	4	7	4	N/A	N/A	N/A
220331	4	3	0	0	6	2	5	10	4	1	10	2	2	9	1	0	1	7	1	6	3	6	3	4	2	3	1	1	4	1	3	3	0	1	1	0	4	3	3	3	15	3	1	3	2	3	0	0	2	5	2	5	8	7	19	1	1	3	4	5	7	7	5	13	1	7	1	4	1	0	4	2	7	0	4	2	4	7	4	N/A	N/A	N/A
220404	4	3	0	0	6	2	5	10	4	1	10	2	2	9	1	0	1	7	1	6	3	7	3	4	2	3	1	1	4	1	3	3	0	1	1	0	4	3	3	3	15	3	1	3	2	3	0	0	2	5	3	5	8	7	19	1	1	3	4	5	7	7	5	13	1	7	1	4	1	0	4	2	7	0	4	2	4	7	4	N/A	N/A	N/A
220406	4	3	0	0	6	2	5	10	4	1	10	2	2	9	1	0	1	7	1	6	3	7	3	4	2	3	1	1	4	1	3	3	0	1	1	1	4	3	3	3	15	3	1	3	2	3	0	0	2	5	3	5	8	7	19	1	1	3	4	5	7	7	5	13	1	7	1	4	1	0	4	2	7	0	4	2	4	7	4	N/A	N/A	N/A
220408	4	3	0	1	6	2	5	10	4	1	11	2	2	9	1	0	1	7	1	6	3	7	3	4	2	3	1	1	4	1	3	3	0	1	1	1	4	3	3	3	15	3	1	3	2	3	0	0	2	5	3	5	8	7	19	1	1	3	4	5	7	7	5	13	1	7	1	4	1	0	4	2	7	0	4	2	4	7	4	N/A	N/A	N/A
220417	4	3	0	1	6	2	5	10	4	1	10	2	2	10	1	0	1	7	1	6	3	7	3	4	2	3	1	1	4	1	3	3	0	1	1	1	4	3	3	3	15	3	1	3	2	3	0	0	2	5	3	5	8	7	19	1	1	3	4	5	7	7	5	13	1	7	1	4	1	0	4	2	7	0	4	2	4	7	4	N/A	N/A	N/A
220625	1/0	1/0	1/0	1/0	1/0	0/0	1/0	1/0	1/0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220823	5	2	1	1	2	2	4	7	2	1	7	1	2	7	0	1	0	5	1	7	1	5	4	3	2	3	1	1	3	1	2	2	0	1	0	1	3	2	4	4	12	0	1	4	2	3	0	1	1	4	3	4	5	4	8	1	0	2	0	4	8	6	3	14	0	5	2	2	2	0	2	2	4	1	5	2	5	6	4	1	1	1
