DATE	A01	A02	A03	B01	B02
220204	0/12	0/12	0/12	0/14	0/14
220206	0/12	0/0	0/12	0/14	0/14
220213	0/12	0/0	3/12	0/14	0/14
220215	0/12	0/0	3/12	0/14	2/14
220216	0/12	0/0	3/12	0/14	3/14
220216	0/12	0/0	3/12	1/14	3/14
220218	0/12	0/0	5/12	2/14	3/14
220219	0/12	0/0	5/12	3/14	3/14
220221	0/12	0/0	5/12	5/14	3/14
220223	0/12	0/0	5/12	8/14	5/14
220224	1/12	0/0 WL1	5/12	9/14	5/14
220225	4/12	0/0 WL2	5/12	11/14	6/14
220226	5/12	0/0 WL2	7/12	13/14	10/14
220301	7/12	0/0 WL2	7/12	12/14	10/14
220302	8/14	0/0 WL2	7/12	11/14	10/12
220305	7/14	0/0 WL2	7/12	12/14	10/12
220308	9/14	0/0 WL2	7/12	12/14	10/12
