DATE	A01	A02	A03	A04	A05	A06
220204	0/34	0/34	0/34	0/34	0/34	0/34
220212	1/34	0/34	0/34	0/34	0/34	0/34
220213	2/34	1/34	0/34	0/34	3/34	0/34
220214	3/34	2/34	0/34	0/34	3/34	0/34
220215	3/34	4/34	0/34	0/34	2/34	0/34
220216	5/34	6/34	1/34	0/34	2/34	0/34
220216	7/34	8/34	1/34	1/34	4/34	0/34
220217	8/34	10/34	3/34	1/34	5/34	0/34
220218	21/34	24/34	6/34	1/34	10/34	7/34
220219	20/34	25/34	6/34	1/34	10/34	7/34
220221	20/34	29/34	8/34	1/34	12/34	10/34
220222	20/34	29/34	9/34	1/34	12/34	10/34
220223	25/34	28/34	14/34	1/34	14/34	11/34
220224	26/34	30/34	15/34	1/34	17/34	11/34
220225	32/34	34/34	24/34	3/34	19/34	13/34
