DATE	A00	B00	C00
220204	0/20	0/30	0/30
220212	0/30	0/30	0/30
220214	1/30	0/0	2/30
220215	1/30	0/30	4/30
220216	2/30	0/30	4/30
220218	3/30	0/30	4/30
220221	3/30	0/30	5/30
220222	4/30	1/30	6/30
220223	5/30	1/30	10/30
220224	5/30	1/30	11/30
220225	19/30	1/30	12/30
220226	22/30	1/30	12/30
220227	24/30	1/30	12/30
220228	26/30	1/30	12/30
220301	27/30	2/30	12/30
220302	29/30	2/30	12/30
220303	30/30 WL2	2/30	13/30
220304	30/30 WL3	2/30	13/30
220307	30/30 WL3	2/30	14/30
220310	30/30 WL5	1/30	16/30
220311	30/30 WL5	2/30	17/30
