DATE	A01	B01	C01
220204	0/75	0/75	N/A
220212	0/146	1/115	N/A
220213	3/146	4/115	N/A
220214	2/146	5/115	N/A
220215	7/146	8/115	N/A
220216	13/146	14/115	N/A
220216	26/146	29/115	N/A
220217	28/146	33/115	N/A
220218	62/146	74/115	N/A
220219	64/146	74/115	N/A
220220	63/146	74/115	N/A
220221	67/146	77/115	N/A
220222	68/146	77/115	N/A
220223	85/146	90/115	N/A
220224	99/146	99/115	N/A
220225	146/146	115/115 WL8	N/A
220226	144/146 WL20	115/115 WL23	N/A
220227	146/146 WL21	115/115 WL23	N/A
220301	145/146 WL25	115/115 WL25	N/A
220302	146/146 WL24	115/115 WL26	N/A
220303	146/146 WL23	115/115 WL24	N/A
220305	146/146 WL22	115/115 WL24	N/A
220306	146/146 WL21	115/115 WL24	N/A
220308	146/146 WL20	114/115 WL20	N/A
220309	146/146 WL19	115/146 WL18	N/A
220310	146/146 WL18	131/146 WL1	N/A
220311	146/146 WL16	132/146 WL4	N/A
220312	145/146 WL16	138/146	N/A
220314	146/146 WL13	142/146	N/A
220316	146/146 WL11	146/146 WL2	N/A
220317	146/146 WL12	146/146 WL2	N/A
220321	146/146 WL10	146/146 WL2	N/A
220323	146/146 WL9	146/146 WL2	N/A
220324	146/146 WL10	145/146 WL3	N/A
220328	142/146 WL8	145/146 WL9	N/A
220328	142/146 WL15	144/146 WL15	N/A
220330	141/146 WL18	143/146 WL18	N/A
220331	145/146 WL14	145/146 WL16	N/A
220404	146/146 WL9	146/146 WL12	N/A
220405	146/146 WL9	146/146 WL11	N/A
220406	146/146 WL5	144/146 WL9	N/A
220407	146/146 WL6	146/146 WL6	N/A
220408	145/146 WL5	146/146 WL5	N/A
220410	145/146 WL4	145/146 WL4	N/A
220412	143/146 WL4	145/146 WL4	N/A
220417	138/146 WL4	140/146 WL4	N/A
220417	50/50 WL13	N/A	N/A
220625	45/50 WL21	N/A	N/A
220823	65/15 WL37	61/15 WL31	79/15 WL39
