DATE	A01	A02	A03	A04	B01	B02	B03	B04
220204	0/35	0/35	0/35	0/35	0/35	0/35	0/35	0/35
220212	1/35	0/35	0/35	0/35	1/35	0/35	0/35	0/35
220213	3/35	2/35	0/35	0/35	5/35	0/35	0/35	1/35
220214	3/35	2/35	0/35	0/35	5/35	0/35	0/35	2/35
220215	4/35	4/35	3/35	1/35	12/35	0/35	0/35	4/35
220216	10/35	7/35	6/35	5/35	19/35	2/35	2/35	5/35
220216	13/35	10/35	11/35	11/35	31/35	5/35	3/35	6/35
220217	14/35	11/35	13/35	11/35	31/35	5/35	4/35	6/35
220218	15/35	19/35	15/35	13/35	35/35	9/35	2/35	6/35
220219	15/35	19/35	17/35	13/35	34/35	10/35	2/35	6/35
220221	17/35	22/35	18/35	14/35	35/35	14/35	3/35	7/35
220222	17/35	22/35	21/35	15/35	35/35	16/35	3/35	9/35
220223	21/35	27/35	26/35	22/35	35/35 WL1	34/35	5/35	12/35
220224	23/35	32/35	33/35	24/35	35/35 WL2	35/35 WL2	17/35	16/35
220225	35/35	35/35 WL1	35/35 WL2	35/35 WL1	35/35 WL1	35/35 WL1	34/35	17/35
220226	35/35 WL2	35/35 WL1	35/35 WL3	35/35 WL2	35/35	35/35 WL1	35/35	27/35
220227	35/35 WL2	35/35 WL1	35/35 WL3	35/35 WL2	35/35	35/35 WL1	35/35	31/35
220228	35/35 WL2	35/35 WL2	35/35 WL3	35/35 WL3	35/35	35/35 WL1	35/35	33/35
220301	35/37 WL1	34/37 WL3	35/36 WL4	35/36 WL3	35/36	35/36 WL1	35/36	33/36
220302	37/37	37/37	36/36 WL2	36/36 WL2	36/36	36/36	35/36	33/36
220303	36/37	37/37	36/36 WL2	36/36 WL2	36/36	35/36	36/36	36/36
220304	37/37	37/37	36/36 WL1	36/36 WL1	36/36	36/36	36/36	35/36
220305	37/37	37/37	36/36 WL1	36/36 WL1	36/36	35/36	35/36	36/36
220306	37/37 WL1	37/37	36/36 WL1	36/36 WL1	36/36	36/36	35/36	34/36
220307	37/37 WL1	37/37 WL1	36/36 WL1	36/36 WL1	36/36	34/36	36/36	34/36
220308	37/37	37/37 WL1	36/36	36/36	36/36	33/36	34/36	32/36
220309	37/37 WL1	37/37	35/36	36/36	36/36	32/36	34/36	32/36
220310	36/37 WL1	36/37	35/36	33/36	36/36	33/36	33/36	32/36
220311	37/37	35/37	35/36	33/36	36/36	33/36	33/36	32/36
220312	37/37	35/37	36/36	33/36	36/36	33/36	33/36	32/36
220314	37/37	35/37	36/36	34/36	35/36	34/36	34/36	31/36
220316	36/37	35/37	36/36	33/36	36/36	36/36	34/36	30/36
220317	35/37	35/37	36/36	33/36	36/36	35/36	34/36	31/36
220321	36/37	34/37	36/36	32/36	36/36	36/36	34/36	30/36
220323	35/37	34/37	36/36	33/36	35/36	35/36	34/36	31/36
220324	35/37	34/37	35/36	34/36	34/36	35/36	34/36	31/36
220328	36/37	31/37	36/36	36/36	36/36	36/36	35/36	29/36
220328	37/37 WL2	36/37 WL2	36/36 WL2	36/36 WL3	36/36	36/36 WL1	36/36	36/36
220330	36/37 WL3	34/37 WL3	36/36 WL4	36/36 WL4	36/37 WL2	36/36	36/36 WL2	36/36
220331	37/37 WL2	37/37 WL1	36/36 WL4	36/36 WL4	37/37 WL1	36/36 WL1	36/36 WL1	36/36
220404	37/37 WL4	37/37 WL3	35/36 WL3	36/36 WL3	37/37 WL2	36/36 WL2	36/36 WL1	35/36 WL1
220405	37/37 WL4	37/37 WL2	36/36 WL2	36/36 WL3	37/37 WL1	36/36 WL1	36/36 WL1	36/36
