DATE	A01	A02	A03	A04	A05	A06
220204	0/39	0/38	0/38	N/A	N/A	N/A
220212	0/39	2/38	0/38	N/A	N/A	N/A
220213	9/39	4/38	0/38	N/A	N/A	N/A
220214	11/39	4/38	1/38	N/A	N/A	N/A
220215	37/39	9/38	3/38	N/A	N/A	N/A
220216	39/39	16/38	3/38	N/A	N/A	N/A
220216	39/39	17/38	4/38	N/A	N/A	N/A
220222	39/39	18/38	4/38	N/A	N/A	N/A
220223	38/39	33/38	5/38	N/A	N/A	N/A
220224	38/39	34/38	5/38	N/A	N/A	N/A
220225	38/39	35/38	7/38	N/A	N/A	N/A
220228	39/39	35/38	7/38	N/A	N/A	N/A
220301	38/39	35/38	8/38	N/A	N/A	N/A
220307	38/39	36/38	8/38	N/A	N/A	N/A
220321	N/A	N/A	N/A	0/0 WL2	0/0 WL1	0/0 WL1
220323	N/A	N/A	N/A	27/0	33/0	4/0 WL1
