DATE	A00	B00
220204	0/50	0/50
220212	2/50	2/50
220213	4/50	4/50
220214	4/50	5/50
220215	7/50	13/50
220216	9/50	35/50
220216	12/50	50/50
220217	13/50	49/50
220218	15/50	50/50
220219	14/50	50/50
220221	17/50	50/50 WL3
220222	18/50	50/50 WL3
220223	27/50	50/50 WL16
220224	36/50	50/50 WL21
220225	46/50	50/50 WL23
220226	50/50	50/50 WL24
220301	49/50 WL1	50/50 WL25
220302	50/50 WL1	50/50 WL26
220304	50/50 WL1	50/50 WL25
220306	50/50 WL1	50/50 WL24
220309	50/50 WL1	50/50 WL25
220314	50/50 WL1	50/50 WL24
220316	50/50 WL1	50/50 WL26
220324	50/50 WL1	50/50 WL25
220328	50/50 WL3	50/50 WL21
220328	50/50 WL6	50/50 WL22
220330	47/50 WL6	50/70 WL25
220331	49/50 WL2	70/70 WL3
220404	48/50	70/70 WL2
220405	47/50	70/70 WL2
220406	46/50	70/70
220407	46/50	69/70 WL1
220408	45/49	70/70 WL1
220410	41/49	69/70 WL1
220412	40/48	69/70 WL1
220417	38/48	67/70 WL1
220417	25/75	N/A
220823	73/110	110/110 WL28
