DATE	A01	A02	A03	A04	A05	A06
220204	0/25	0/25	0/25	0/25	0/25	0/25
220212	0/25	0/25	1/25	0/25	0/25	1/25
220213	2/25	1/25	2/25	0/25	3/25	3/25
220215	5/25	1/25	4/25	3/25	5/25	5/25
220216	6/25	3/25	5/25	6/25	6/25	6/25
220216	6/25	6/25	7/25	8/25	8/25	8/25
220217	7/25	6/25	7/25	8/25	9/25	8/25
220218	9/25	9/25	10/25	9/25	13/25	10/25
220219	9/25	10/25	10/25	9/25	13/25	9/25
220221	10/25	10/25	10/25	9/25	13/25	9/25
220221	11/25	13/25	10/25	9/25	15/25	9/25
220222	13/25	16/25	10/25	10/25	15/25	9/25
220223	18/25	23/25	16/25	11/25	18/25	13/25
220224	20/25	25/25	17/25	12/25	21/25	15/25
220225	24/25	25/25	25/25	24/25	25/25 WL1	22/25
220226	25/25 WL4	25/25 WL3	25/25 WL4	25/25 WL4	25/25 WL5	25/25 WL5
220227	25/25 WL4	25/25 WL3	25/25 WL4	25/25 WL4	25/25 WL6	25/25 WL5
220228	25/25 WL4	25/25 WL3	25/25 WL4	25/25 WL4	25/25 WL5	25/25 WL4
220301	25/25 WL3	25/25 WL3	25/25 WL3	25/25 WL4	25/25 WL4	25/25 WL3
220302	25/25 WL3	25/25 WL3	25/25 WL3	25/25 WL4	25/25 WL4	24/25 WL3
220303	25/25 WL4	25/25 WL2	24/25 WL3	25/25 WL3	25/25 WL4	25/25 WL2
220304	25/25 WL3	25/25 WL1	25/25 WL2	25/25 WL3	25/25 WL3	25/25 WL2
220306	25/25 WL2	25/25 WL1	25/25 WL2	25/25 WL3	25/25 WL3	25/25 WL2
220308	25/25 WL2	25/25 WL2	25/25 WL3	25/25 WL3	25/25 WL3	25/25 WL3
220310	25/25 WL2	25/25 WL2	25/25 WL2	25/25 WL3	25/25 WL3	25/25 WL4
220311	25/25 WL3	25/25 WL2	25/25 WL2	25/25 WL3	25/25 WL3	25/25 WL4
220312	25/25 WL3	25/25 WL2	25/25 WL2	25/25 WL3	25/25 WL4	25/25 WL4
220314	25/25 WL2	25/25 WL2	25/25 WL2	25/25 WL3	25/25 WL4	25/25 WL3
220316	25/25 WL2	25/25 WL2	25/25 WL1	25/25 WL3	25/25 WL4	24/25 WL4
220317	25/25 WL2	25/25 WL2	25/25 WL1	24/25 WL3	25/25 WL4	25/25 WL3
220321	24/25 WL2	25/25 WL4	25/25 WL2	25/25 WL2	25/25 WL3	25/25 WL3
220323	25/25 WL2	25/25 WL4	25/25 WL2	25/25 WL2	25/25 WL4	25/25 WL2
220324	25/25 WL2	25/25 WL4	24/25 WL3	25/25 WL3	25/25 WL4	25/25 WL3
220328	25/25 WL2	25/25 WL4	24/25 WL3	25/25 WL1	25/25 WL3	25/25 WL2
220328	25/25 WL3	25/25 WL4	24/25 WL3	25/25 WL2	25/25 WL3	25/25 WL3
220330	23/25 WL3	22/25 WL4	25/25 WL3	25/25 WL3	22/25 WL3	22/25 WL3
220331	25/25 WL1	25/25	25/25 WL1	25/25 WL2	25/25	25/25
